time,hour,dayofweek,month,East,North,West
2015-01-01 00:00:00,0,3,1,102972.16,74997.89833333335,150417.2
2015-01-01 01:00:00,1,3,1,98909.10500000001,74065.07333333333,144913.8125
2015-01-01 02:00:00,2,3,1,95800.825,70456.97666666667,137344.74250000002
2015-01-01 03:00:00,3,3,1,95027.55,68705.88,132415.16999999998
2015-01-01 04:00:00,4,3,1,95660.94999999998,68003.73166666666,131099.4175
2015-01-01 05:00:00,5,3,1,97496.1525,68248.70166666666,132161.585
2015-01-01 06:00:00,6,3,1,100251.79499999998,69041.46333333335,132880.26249999998
2015-01-01 07:00:00,7,3,1,103387.20000000001,70578.50833333333,132691.0175
2015-01-01 08:00:00,8,3,1,108296.29666666666,72389.29333333333,135785.865
2015-01-01 09:00:00,9,3,1,112690.76833333334,75584.37166666666,141248.19
2015-01-01 10:00:00,10,3,1,115910.34000000001,78874.24333333332,145824.245
2015-01-01 11:00:00,11,3,1,117135.4325,81581.02,149994.51000000004
2015-01-01 12:00:00,12,3,1,115274.3525,84497.675,148008.19
2015-01-01 13:00:00,13,3,1,114532.25,86347.64666666667,143788.80250000002
2015-01-01 14:00:00,14,3,1,115763.56999999999,87725.50166666666,140555.175
2015-01-01 15:00:00,15,3,1,121255.2475,89073.85833333334,142447.85499999998
2015-01-01 16:00:00,16,3,1,127880.07,90881.12666666666,153368.7075
2015-01-01 17:00:00,17,3,1,127825.9925,92609.98,162485.85249999998
2015-01-01 18:00:00,18,3,1,126651.2625,90918.935,166455.86500000002
2015-01-01 19:00:00,19,3,1,122591.83,88332.055,164966.795
2015-01-01 20:00:00,20,3,1,118097.015,85275.025,160964.70249999998
2015-01-01 21:00:00,21,3,1,115664.87000000001,81027.78166666666,159093.3675
2015-01-01 22:00:00,22,3,1,108814.1,77416.12666666665,154380.9225
2015-01-01 23:00:00,23,3,1,102285.4775,74172.99666666667,144690.785
2015-01-02 00:00:00,0,4,1,98409.98749999999,70290.34666666666,136537.2875
2015-01-02 01:00:00,1,4,1,95789.41000000002,68678.81666666668,131880.70249999998
2015-01-02 02:00:00,2,4,1,94574.8375,66706.22333333333,127484.0375
2015-01-02 03:00:00,3,4,1,95950.77250000002,66937.32833333332,126087.74250000001
2015-01-02 04:00:00,4,4,1,100360.0575,67913.49833333334,129858.8325
2015-01-02 05:00:00,5,4,1,108603.3,71219.27166666667,139017.45750000002
2015-01-02 06:00:00,6,4,1,117672.035,76754.14,156469.0375
2015-01-02 07:00:00,7,4,1,125594.1125,81245.495,166212.745
2015-01-02 08:00:00,8,4,1,131027.65749999999,84153.05666666667,173213.28
2015-01-02 09:00:00,9,4,1,134679.1475,87498.17833333334,173276.47249999997
2015-01-02 10:00:00,10,4,1,136197.5275,90327.13999999998,174161.78500000003
2015-01-02 11:00:00,11,4,1,135647.78,91804.63,178137.31
2015-01-02 12:00:00,12,4,1,134728.01750000002,92128.81999999999,174735.8625
2015-01-02 13:00:00,13,4,1,133686.455,92342.10833333332,171049.14750000002
2015-01-02 14:00:00,14,4,1,133912.7475,93220.25333333331,168978.855
2015-01-02 15:00:00,15,4,1,138979.66000000003,94660.53666666667,170554.16749999998
2015-01-02 16:00:00,16,4,1,142681.025,97407.49666666669,181398.1425
2015-01-02 17:00:00,17,4,1,141660.1925,101173.27666666666,188075.89
2015-01-02 18:00:00,18,4,1,138162.84250000003,101559.30000000002,189307.055
2015-01-02 19:00:00,19,4,1,131830.7575,97160.70166666666,179708.035
2015-01-02 20:00:00,20,4,1,126338.4825,93066.865,171781.41999999998
2015-01-02 21:00:00,21,4,1,120695.4225,88019.67833333333,166366.875
2015-01-02 22:00:00,22,4,1,111342.77750000001,83512.535,161002.59999999998
2015-01-02 23:00:00,23,4,1,103217.015,79183.73333333334,150735.9475
2015-01-03 00:00:00,0,5,1,98777.14249999999,74883.70166666666,141979.475
2015-01-03 01:00:00,1,5,1,95455.71,73077.41,136291.40999999997
2015-01-03 02:00:00,2,5,1,93443.0875,70413.46666666667,130805.4575
2015-01-03 03:00:00,3,5,1,93995.41249999999,69214.29666666668,128253.96000000002
2015-01-03 04:00:00,4,5,1,95493.58249999999,68460.35333333333,129804.655
2015-01-03 05:00:00,5,5,1,99646.43749999999,69603.94333333333,135036.7175
2015-01-03 06:00:00,6,5,1,105263.25,72413.68166666667,141319.155
2015-01-03 07:00:00,7,5,1,111872.4825,77373.09166666666,148266.3725
2015-01-03 08:00:00,8,5,1,118604.19999999998,81951.27333333332,156779.56
2015-01-03 09:00:00,9,5,1,122708.2,87135.15166666667,163025.03750000003
2015-01-03 10:00:00,10,5,1,125466.57999999999,91288.85833333332,164783.155
2015-01-03 11:00:00,11,5,1,125140.72,93101.24333333332,165363.34749999997
2015-01-03 12:00:00,12,5,1,124185.2475,93799.23833333333,162824.665
2015-01-03 13:00:00,13,5,1,122017.73,93901.87499999999,160070.0425
2015-01-03 14:00:00,14,5,1,122878.2275,93965.49666666666,157904.525
2015-01-03 15:00:00,15,5,1,129420.735,95097.34166666666,159136.06000000003
2015-01-03 16:00:00,16,5,1,135074.61250000002,97709.08833333333,167401.57249999998
2015-01-03 17:00:00,17,5,1,134894.3225,101274.68333333333,174765.6075
2015-01-03 18:00:00,18,5,1,132110.91249999998,100218.10166666665,175417.775
2015-01-03 19:00:00,19,5,1,125565.575,96763.91,169560.65
2015-01-03 20:00:00,20,5,1,119539.745,93011.25833333333,162298.00999999998
2015-01-03 21:00:00,21,5,1,116496.14749999999,88819.58333333333,157682.7575
2015-01-03 22:00:00,22,5,1,110168.0025,83668.99833333334,152969.8625
2015-01-03 23:00:00,23,5,1,104325.95750000002,79700.36166666666,143572.6275
2015-01-04 00:00:00,0,6,1,97475.07,79087.695,134955.475
