time,East,North,West
2015-01-01 00:00:00,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.0,0.0
2015-01-01 05:00:00,0.0,0.0,0.0
2015-01-01 06:00:00,0.0,0.0,0.0
2015-01-01 07:00:00,0.005,0.0,0.013
2015-01-01 08:00:00,0.068,0.0,0.156
2015-01-01 09:00:00,0.158,0.005,0.305
2015-01-01 10:00:00,0.222,0.019,0.396
2015-01-01 11:00:00,0.239,0.028,0.428
2015-01-01 12:00:00,0.212,0.027000000000000003,0.403
2015-01-01 13:00:00,0.133,0.024,0.328
2015-01-01 14:00:00,0.04,0.014,0.211
2015-01-01 15:00:00,0.0,0.001,0.07200000000000001
2015-01-01 16:00:00,0.0,0.0,0.0
2015-01-01 17:00:00,0.0,0.0,0.0
2015-01-01 18:00:00,0.0,0.0,0.0
2015-01-01 19:00:00,0.0,0.0,0.0
2015-01-01 20:00:00,0.0,0.0,0.0
2015-01-01 21:00:00,0.0,0.0,0.0
2015-01-01 22:00:00,0.0,0.0,0.0
2015-01-01 23:00:00,0.0,0.0,0.0
2015-01-02 00:00:00,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,0.0
2015-01-02 02:00:00,0.0,0.0,0.0
2015-01-02 03:00:00,0.0,0.0,0.0
2015-01-02 04:00:00,0.0,0.0,0.0
2015-01-02 05:00:00,0.0,0.0,0.0
2015-01-02 06:00:00,0.0,0.0,0.0
2015-01-02 07:00:00,0.006,0.0,0.011
2015-01-02 08:00:00,0.036000000000000004,0.003,0.08
2015-01-02 09:00:00,0.071,0.059,0.14
2015-01-02 10:00:00,0.106,0.145,0.183
2015-01-02 11:00:00,0.121,0.196,0.203
2015-01-02 12:00:00,0.11,0.213,0.197
2015-01-02 13:00:00,0.077,0.188,0.16399999999999998
2015-01-02 14:00:00,0.022,0.108,0.104
2015-01-02 15:00:00,0.0,0.02,0.027000000000000003
2015-01-02 16:00:00,0.0,0.0,0.0
2015-01-02 17:00:00,0.0,0.0,0.0
2015-01-02 18:00:00,0.0,0.0,0.0
2015-01-02 19:00:00,0.0,0.0,0.0
2015-01-02 20:00:00,0.0,0.0,0.0
2015-01-02 21:00:00,0.0,0.0,0.0
2015-01-02 22:00:00,0.0,0.0,0.0
2015-01-02 23:00:00,0.0,0.0,0.0
2015-01-03 00:00:00,0.0,0.0,0.0
2015-01-03 01:00:00,0.0,0.0,0.0
2015-01-03 02:00:00,0.0,0.0,0.0
2015-01-03 03:00:00,0.0,0.0,0.0
2015-01-03 04:00:00,0.0,0.0,0.0
2015-01-03 05:00:00,0.0,0.0,0.0
2015-01-03 06:00:00,0.0,0.0,0.0
2015-01-03 07:00:00,0.003,0.0,0.008
2015-01-03 08:00:00,0.029,0.0,0.05
2015-01-03 09:00:00,0.049,0.013,0.097
2015-01-03 10:00:00,0.05,0.049,0.13699999999999998
2015-01-03 11:00:00,0.046,0.085,0.157
2015-01-03 12:00:00,0.042,0.109,0.153
2015-01-03 13:00:00,0.033,0.102,0.125
2015-01-03 14:00:00,0.01,0.061,0.08
2015-01-03 15:00:00,0.0,0.011,0.026
2015-01-03 16:00:00,0.0,0.0,0.0
2015-01-03 17:00:00,0.0,0.0,0.0
2015-01-03 18:00:00,0.0,0.0,0.0
2015-01-03 19:00:00,0.0,0.0,0.0
2015-01-03 20:00:00,0.0,0.0,0.0
2015-01-03 21:00:00,0.0,0.0,0.0
2015-01-03 22:00:00,0.0,0.0,0.0
2015-01-03 23:00:00,0.0,0.0,0.0
2015-01-04 00:00:00,0.0,0.0,0.0
2015-01-04 01:00:00,0.0,0.0,0.0
2015-01-04 02:00:00,0.0,0.0,0.0
2015-01-04 03:00:00,0.0,0.0,0.0
2015-01-04 04:00:00,0.0,0.0,0.0
2015-01-04 05:00:00,0.0,0.0,0.0
2015-01-04 06:00:00,0.0,0.0,0.0
2015-01-04 07:00:00,0.002,0.0,0.006999999999999999
2015-01-04 08:00:00,0.037000000000000005,0.006999999999999999,0.05
2015-01-04 09:00:00,0.098,0.07400000000000001,0.116
2015-01-04 10:00:00,0.158,0.156,0.188
2015-01-04 11:00:00,0.184,0.214,0.245
2015-01-04 12:00:00,0.17600000000000002,0.212,0.262
2015-01-04 13:00:00,0.125,0.16399999999999998,0.223
2015-01-04 14:00:00,0.044,0.085,0.141
2015-01-04 15:00:00,0.001,0.013,0.041
2015-01-04 16:00:00,0.0,0.0,0.0
2015-01-04 17:00:00,0.0,0.0,0.0
2015-01-04 18:00:00,0.0,0.0,0.0
2015-01-04 19:00:00,0.0,0.0,0.0
2015-01-04 20:00:00,0.0,0.0,0.0
2015-01-04 21:00:00,0.0,0.0,0.0
2015-01-04 22:00:00,0.0,0.0,0.0
2015-01-04 23:00:00,0.0,0.0,0.0
2015-01-05 00:00:00,0.0,0.0,0.0
2015-01-05 01:00:00,0.0,0.0,0.0
2015-01-05 02:00:00,0.0,0.0,0.0
2015-01-05 03:00:00,0.0,0.0,0.0
2015-01-05 04:00:00,0.0,0.0,0.0
2015-01-05 05:00:00,0.0,0.0,0.0
2015-01-05 06:00:00,0.0,0.0,0.0
2015-01-05 07:00:00,0.011,0.0,0.016
2015-01-05 08:00:00,0.083,0.0,0.123
2015-01-05 09:00:00,0.182,0.01,0.242
2015-01-05 10:00:00,0.253,0.025,0.337
2015-01-05 11:00:00,0.269,0.036000000000000004,0.389
2015-01-05 12:00:00,0.24,0.038,0.395
2015-01-05 13:00:00,0.16899999999999998,0.029,0.344
2015-01-05 14:00:00,0.073,0.012,0.24
2015-01-05 15:00:00,0.002,0.001,0.09
2015-01-05 16:00:00,0.0,0.0,0.001
2015-01-05 17:00:00,0.0,0.0,0.0
2015-01-05 18:00:00,0.0,0.0,0.0
2015-01-05 19:00:00,0.0,0.0,0.0
2015-01-05 20:00:00,0.0,0.0,0.0
2015-01-05 21:00:00,0.0,0.0,0.0
2015-01-05 22:00:00,0.0,0.0,0.0
2015-01-05 23:00:00,0.0,0.0,0.0
2015-01-06 00:00:00,0.0,0.0,0.0
2015-01-06 01:00:00,0.0,0.0,0.0
2015-01-06 02:00:00,0.0,0.0,0.0
2015-01-06 03:00:00,0.0,0.0,0.0
2015-01-06 04:00:00,0.0,0.0,0.0
2015-01-06 05:00:00,0.0,0.0,0.0
2015-01-06 06:00:00,0.0,0.0,0.0
2015-01-06 07:00:00,0.021,0.0,0.016
2015-01-06 08:00:00,0.128,0.001,0.105
2015-01-06 09:00:00,0.247,0.017,0.18600000000000005
2015-01-06 10:00:00,0.322,0.067,0.247
2015-01-06 11:00:00,0.329,0.119,0.281
2015-01-06 12:00:00,0.276,0.156,0.277
2015-01-06 13:00:00,0.173,0.146,0.23
2015-01-06 14:00:00,0.058,0.092,0.14300000000000002
2015-01-06 15:00:00,0.001,0.018000000000000002,0.044
2015-01-06 16:00:00,0.0,0.0,0.0
2015-01-06 17:00:00,0.0,0.0,0.0
2015-01-06 18:00:00,0.0,0.0,0.0
2015-01-06 19:00:00,0.0,0.0,0.0
2015-01-06 20:00:00,0.0,0.0,0.0
2015-01-06 21:00:00,0.0,0.0,0.0
2015-01-06 22:00:00,0.0,0.0,0.0
2015-01-06 23:00:00,0.0,0.0,0.0
2015-01-07 00:00:00,0.0,0.0,0.0
2015-01-07 01:00:00,0.0,0.0,0.0
2015-01-07 02:00:00,0.0,0.0,0.0
2015-01-07 03:00:00,0.0,0.0,0.0
2015-01-07 04:00:00,0.0,0.0,0.0
2015-01-07 05:00:00,0.0,0.0,0.0
2015-01-07 06:00:00,0.0,0.0,0.0
2015-01-07 07:00:00,0.003,0.0,0.006999999999999999
2015-01-07 08:00:00,0.026,0.001,0.066
2015-01-07 09:00:00,0.06,0.011,0.14400000000000002
2015-01-07 10:00:00,0.096,0.025,0.224
2015-01-07 11:00:00,0.126,0.031,0.275
2015-01-07 12:00:00,0.12,0.03,0.277
2015-01-07 13:00:00,0.08,0.023,0.228
2015-01-07 14:00:00,0.026,0.012,0.147
2015-01-07 15:00:00,0.0,0.002,0.054000000000000006
2015-01-07 16:00:00,0.0,0.0,0.001
2015-01-07 17:00:00,0.0,0.0,0.0
2015-01-07 18:00:00,0.0,0.0,0.0
2015-01-07 19:00:00,0.0,0.0,0.0
2015-01-07 20:00:00,0.0,0.0,0.0
2015-01-07 21:00:00,0.0,0.0,0.0
2015-01-07 22:00:00,0.0,0.0,0.0
2015-01-07 23:00:00,0.0,0.0,0.0
2015-01-08 00:00:00,0.0,0.0,0.0
2015-01-08 01:00:00,0.0,0.0,0.0
2015-01-08 02:00:00,0.0,0.0,0.0
2015-01-08 03:00:00,0.0,0.0,0.0
2015-01-08 04:00:00,0.0,0.0,0.0
2015-01-08 05:00:00,0.0,0.0,0.0
2015-01-08 06:00:00,0.0,0.0,0.0
2015-01-08 07:00:00,0.003,0.0,0.011
2015-01-08 08:00:00,0.019,0.0,0.078
2015-01-08 09:00:00,0.04,0.013,0.152
2015-01-08 10:00:00,0.061,0.048,0.21
