time,East,North,West
2015-01-01 00:00:00,0.1566,0.6827,0.1257
2015-01-01 01:00:00,0.1659,0.6759,0.1234
2015-01-01 02:00:00,0.1746,0.6666,0.124
2015-01-01 03:00:00,0.1745,0.6562,0.1302
2015-01-01 04:00:00,0.1826,0.6532,0.1398
2015-01-01 05:00:00,0.1869,0.6397,0.1366
2015-01-01 06:00:00,0.1999,0.5977,0.129
2015-01-01 07:00:00,0.212,0.5906,0.1356
2015-01-01 08:00:00,0.2281,0.6058,0.1526
2015-01-01 09:00:00,0.2452,0.6658,0.1412
2015-01-01 10:00:00,0.2272,0.7377,0.1261
2015-01-01 11:00:00,0.2265,0.7768,0.1378
2015-01-01 12:00:00,0.2384,0.8017,0.1654
2015-01-01 13:00:00,0.2719,0.8278,0.1735
2015-01-01 14:00:00,0.3264,0.8307,0.1895
2015-01-01 15:00:00,0.3656,0.8227,0.2322
2015-01-01 16:00:00,0.3828,0.8016,0.2828
2015-01-01 17:00:00,0.4049,0.7893,0.3255
2015-01-01 18:00:00,0.4376,0.7791,0.3609
2015-01-01 19:00:00,0.4792,0.7688,0.3868
2015-01-01 20:00:00,0.5201,0.7703,0.39899999999999997
2015-01-01 21:00:00,0.5529,0.7919,0.4043
2015-01-01 22:00:00,0.5842,0.8275,0.4094
2015-01-01 23:00:00,0.6113,0.8523,0.4115
2015-01-02 00:00:00,0.6391,0.8596,0.4148
2015-01-02 01:00:00,0.6732,0.8578,0.4168
2015-01-02 02:00:00,0.71,0.8462,0.4231
2015-01-02 03:00:00,0.7425,0.8393,0.4316
2015-01-02 04:00:00,0.7704,0.8351,0.4516
2015-01-02 05:00:00,0.8006,0.8332,0.4769
2015-01-02 06:00:00,0.8038,0.8303,0.4651
2015-01-02 07:00:00,0.7997,0.8227,0.4377
2015-01-02 08:00:00,0.7918,0.8035,0.4004
2015-01-02 09:00:00,0.7818,0.7863,0.3479
2015-01-02 10:00:00,0.7643,0.7793,0.3048
2015-01-02 11:00:00,0.7576,0.7846,0.2659
2015-01-02 12:00:00,0.7435,0.7922,0.2388
2015-01-02 13:00:00,0.7346,0.7994,0.2149
2015-01-02 14:00:00,0.7266,0.7766,0.2061
2015-01-02 15:00:00,0.7328,0.7194,0.235
2015-01-02 16:00:00,0.7368,0.6508,0.2623
2015-01-02 17:00:00,0.7401,0.6076,0.2264
2015-01-02 18:00:00,0.7363,0.607,0.1733
2015-01-02 19:00:00,0.7301,0.6156,0.136
2015-01-02 20:00:00,0.7246,0.6321,0.1119
2015-01-02 21:00:00,0.7285,0.6538,0.1038
2015-01-02 22:00:00,0.7319,0.6587,0.1082
2015-01-02 23:00:00,0.7294,0.6519,0.1203
2015-01-03 00:00:00,0.713,0.6276,0.1335
2015-01-03 01:00:00,0.6784,0.5793,0.1561
2015-01-03 02:00:00,0.6293,0.5218,0.1893
2015-01-03 03:00:00,0.5751,0.4593,0.2259
2015-01-03 04:00:00,0.5138,0.3803,0.2634
2015-01-03 05:00:00,0.4968,0.3224,0.2951
2015-01-03 06:00:00,0.511,0.2871,0.3126
2015-01-03 07:00:00,0.5292,0.2357,0.3426
2015-01-03 08:00:00,0.541,0.1974,0.3737
2015-01-03 09:00:00,0.5326,0.1908,0.4075
2015-01-03 10:00:00,0.5282,0.1973,0.4688
2015-01-03 11:00:00,0.5243,0.2013,0.5454
2015-01-03 12:00:00,0.5024,0.2061,0.6088
2015-01-03 13:00:00,0.4624,0.2106,0.679
2015-01-03 14:00:00,0.4233,0.2278,0.7368
2015-01-03 15:00:00,0.4013,0.2483,0.7572
2015-01-03 16:00:00,0.3807,0.261,0.7622
2015-01-03 17:00:00,0.3737,0.2721,0.7292
2015-01-03 18:00:00,0.3761,0.2637,0.6812
2015-01-03 19:00:00,0.3781,0.2407,0.6046
2015-01-03 20:00:00,0.3939,0.2196,0.5296
2015-01-03 21:00:00,0.4087,0.2063,0.4497
2015-01-03 22:00:00,0.4467,0.2047,0.3763
2015-01-03 23:00:00,0.4677,0.2093,0.3147
2015-01-04 00:00:00,0.4867,0.2161,0.2677
2015-01-04 01:00:00,0.4996,0.2192,0.2322
2015-01-04 02:00:00,0.5051,0.2147,0.2041
2015-01-04 03:00:00,0.4899,0.2093,0.1762
2015-01-04 04:00:00,0.4778,0.2094,0.1497
2015-01-04 05:00:00,0.4616,0.2134,0.128
2015-01-04 06:00:00,0.4508,0.2228,0.1112
2015-01-04 07:00:00,0.4521,0.2348,0.098
2015-01-04 08:00:00,0.442,0.2455,0.0845
2015-01-04 09:00:00,0.4212,0.2543,0.0719
2015-01-04 10:00:00,0.4246,0.2452,0.0701
2015-01-04 11:00:00,0.431,0.2433,0.0776
2015-01-04 12:00:00,0.4459,0.2568,0.0806
2015-01-04 13:00:00,0.4447,0.2746,0.0787
2015-01-04 14:00:00,0.4391,0.2866,0.0735
2015-01-04 15:00:00,0.4249,0.3023,0.0761
2015-01-04 16:00:00,0.3993,0.3148,0.0843
2015-01-04 17:00:00,0.3699,0.312,0.0958
2015-01-04 18:00:00,0.3401,0.3019,0.1056
2015-01-04 19:00:00,0.3091,0.2921,0.1164
2015-01-04 20:00:00,0.2732,0.2888,0.1258
2015-01-04 21:00:00,0.2536,0.2984,0.1335
