GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW
Lignite,1,1800.0
LigniteCCSadv,1,2600.0
LigniteCCSsup,1,3799.230769230769
Coal,1,1600.0
CoalCCSadv,1,2500.0
CoalCCS,1,3550.0
GasOCGT,1,400.0
GasCCGT,1,720.0
GasCCSadv,1,1350.0
GasCCS,1,1750.0
Bio10cofiring,1,1600.0
Bio10cofiringCCS,1,2600.0
Nuclear,1,6000.0
Wave,1,6100.0
Geo,1,4970.0
Hydroregulated,1,3000.0
Hydrorun-of-the-river,1,2450.0
Bio,1,2000.0
Windonshore,1,1295.0
Windoffshore,1,2778.0
Solar,1,710.0
Lignite,2,1800.0
LigniteCCSadv,2,2600.0
LigniteCCSsup,2,3799.230769230769
Coal,2,1600.0
CoalCCSadv,2,2500.0
CoalCCS,2,3550.0
GasOCGT,2,400.0
GasCCGT,2,720.0
GasCCSadv,2,1350.0
GasCCS,2,1750.0
Bio10cofiring,2,1600.0
Bio10cofiringCCS,2,2600.0
Nuclear,2,6000.0
Wave,2,6100.0
Geo,2,4970.0
Hydroregulated,2,3000.0
Hydrorun-of-the-river,2,2450.0
Bio,2,2000.0
Windonshore,2,1295.0
Windoffshore,2,2778.0
Solar,2,710.0
Lignite,3,1800.0
LigniteCCSadv,3,2530.0
LigniteCCSsup,3,3799.230769230769
Coal,3,1600.0
CoalCCSadv,3,2430.0
CoalCCS,3,3350.0
GasOCGT,3,400.0
GasCCGT,3,690.0
GasCCSadv,3,1330.0
GasCCS,3,1625.0
Bio10cofiring,3,1600.0
Bio10cofiringCCS,3,2530.0
Nuclear,3,6000.0
Wave,3,3100.0
Geo,3,4586.0
Hydroregulated,3,3000.0
Hydrorun-of-the-river,3,2400.0
Bio,3,1800.0
Windonshore,3,1161.0
Windoffshore,3,2048.0
Solar,3,663.0
Lignite,4,1800.0
LigniteCCSadv,4,2470.0
LigniteCCSsup,4,3799.230769230769
Coal,4,1600.0
CoalCCSadv,4,2370.0
CoalCCS,4,3350.0
GasOCGT,4,400.0
GasCCGT,4,690.0
GasCCSadv,4,1310.0
GasCCS,4,1625.0
Bio10cofiring,4,1600.0
Bio10cofiringCCS,4,2470.0
Nuclear,4,6000.0
Wave,4,3100.0
Geo,4,4586.0
Hydroregulated,4,3000.0
Hydrorun-of-the-river,4,2400.0
Bio,4,1800.0
Windonshore,4,1161.0
Windoffshore,4,2048.0
Solar,4,663.0
Lignite,5,1800.0
LigniteCCSadv,5,2400.0
LigniteCCSsup,5,3799.230769230769
Coal,5,1600.0
CoalCCSadv,5,2300.0
CoalCCS,5,3250.0
GasOCGT,5,400.0
GasCCGT,5,660.0
GasCCSadv,5,1290.0
GasCCS,5,1500.0
Bio10cofiring,5,1600.0
Bio10cofiringCCS,5,2400.0
Nuclear,5,6000.0
Wave,5,2025.0
Geo,5,3749.0
Hydroregulated,5,3000.0
Hydrorun-of-the-river,5,2350.0
Bio,5,1700.0
Windonshore,5,1010.0
Windoffshore,5,1929.0
Solar,5,519.0
Lignite,6,1800.0
LigniteCCSadv,6,2330.0
LigniteCCSsup,6,3799.230769230769
Coal,6,1600.0
CoalCCSadv,6,2230.0
CoalCCS,6,3250.0
GasOCGT,6,400.0
GasCCGT,6,660.0
GasCCSadv,6,1270.0
GasCCS,6,1500.0
Bio10cofiring,6,1600.0
Bio10cofiringCCS,6,2330.0
Nuclear,6,6000.0
Wave,6,2025.0
Geo,6,3749.0
Hydroregulated,6,3000.0
Hydrorun-of-the-river,6,2350.0
Bio,6,1700.0
Windonshore,6,1010.0
Windoffshore,6,1929.0
Solar,6,519.0
Lignite,7,1800.0
LigniteCCSadv,7,2250.0
LigniteCCSsup,7,3799.230769230769
Coal,7,1600.0
CoalCCSadv,7,2150.0
CoalCCS,7,3150.0
GasOCGT,7,400.0
GasCCGT,7,640.0
GasCCSadv,7,1250.0
GasCCS,7,1500.0
Bio10cofiring,7,1600.0
Bio10cofiringCCS,7,2250.0
Nuclear,7,6000.0
Wave,7,1975.0
Geo,7,3306.0
Hydroregulated,7,3000.0
Hydrorun-of-the-river,7,2300.0
Bio,7,1700.0
Windonshore,7,943.0
Windoffshore,7,1891.0
Solar,7,454.0
Lignite,8,1800.0
LigniteCCSadv,8,2600.0
LigniteCCSsup,8,3799.230769230769
Coal,8,1600.0
CoalCCSadv,8,2500.0
CoalCCS,8,3150.0
GasOCGT,8,400.0
GasCCGT,8,640.0
GasCCSadv,8,1350.0
GasCCS,8,1500.0
Bio10cofiring,8,1600.0
Bio10cofiringCCS,8,2600.0
Nuclear,8,6000.0
Wave,8,1975.0
Geo,8,3306.0
Hydroregulated,8,3000.0
Hydrorun-of-the-river,8,2300.0
Bio,8,1700.0
Windonshore,8,943.0
Windoffshore,8,1891.0
Solar,8,454.0
Waste,1,2030.0
Waste,2,2030.0
Waste,3,2013.0
Waste,4,2013.0
Waste,5,2005.0
Waste,6,2005.0
Waste,7,1997.0
Waste,8,1997.0
