Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Austria,Coalexisting,1553.0
Austria,Gasexisting,4853.0
Austria,Oilexisting,168.0
Austria,Bioexisting,586.0
Austria,Hydroregulated,4218.0
Austria,Hydrorun-of-the-river,5714.0
Austria,Windonshore,2887.0
Austria,Solar,1193.0
Austria,Geo,1.0
Austria,Waste,22.0
BosniaH,Liginiteexisting,1993.0
BosniaH,Hydroregulated,1665.0
BosniaH,Windonshore,51.0
Belgium,Gasexisting,6974.0
Belgium,Oilexisting,404.0
Belgium,Bioexisting,811.0
Belgium,Nuclear,5919.0
Belgium,Hydrorun-of-the-river,125.0
Belgium,Windonshore,2068.0
Belgium,Windoffshore,1179.0
Belgium,Waste,302.0
Belgium,Solar,3581.0
Bulgaria,Liginiteexisting,3558.0
Bulgaria,Coalexisting,175.0
Bulgaria,Gasexisting,755.0
Bulgaria,Bioexisting,77.0
Bulgaria,Nuclear,1950.0
Bulgaria,Hydroregulated,1534.0
Bulgaria,Hydrorun-of-the-river,600.0
Bulgaria,Windonshore,700.0
Bulgaria,Solar,1052.0
Switzerland,Bioexisting,196.0
Switzerland,Nuclear,3333.0
Switzerland,Hydroregulated,6288.0
Switzerland,Hydrorun-of-the-river,4053.0
Switzerland,Windonshore,75.0
Switzerland,Waste,422.0
Switzerland,Solar,1664.0
CzechR,Liginiteexisting,8450.0
CzechR,Coalexisting,1200.0
CzechR,Gasexisting,1605.0
CzechR,Bioexisting,800.0
CzechR,Nuclear,4040.0
CzechR,Hydroregulated,753.0
CzechR,Hydrorun-of-the-river,334.0
CzechR,Waste,100.0
CzechR,Windonshore,316.0
CzechR,Solar,2049.0
Germany,Liginiteexisting,22471.0
Germany,Coalexisting,24645.0
Germany,Gasexisting,31614.0
Germany,Oilexisting,4440.0
Germany,Bioexisting,8042.0
Germany,Nuclear,9516.0
Germany,Geo,42.0
Germany,Hydroregulated,1267.0
Germany,Hydrorun-of-the-river,3781.0
Germany,Windonshore,51844.0
Germany,Waste,1784.0
Germany,Windoffshore,6385.0
Germany,Solar,43922.0
Denmark,Coalexisting,3700.0
Denmark,Gasexisting,1829.0
Denmark,Oilexisting,1007.0
Denmark,Bioexisting,2066.0
Denmark,Hydrorun-of-the-river,7.0
Denmark,Windonshore,4423.0
Denmark,Waste,323.0
Denmark,Windoffshore,1701.0
Denmark,Solar,1000.0
