GeneratorTechnology,Period,generatorRetirementFactorInitialCap
Liginiteexisting,2,0.3846153846153846
Coalexisting,2,0.3846153846153846
Gasexisting,2,0.3173076923076924
Oilexisting,2,0.4444444444444441
Bioexisting,2,0.2857142857142857
Nuclear,2,0.2857142857142857
Liginiteexisting,3,0.5865384615384616
Coalexisting,3,0.5865384615384616
Gasexisting,3,0.576923076923077
Oilexisting,3,0.6666666666666665
Bioexisting,3,0.42857142857142855
Nuclear,3,0.42857142857142855
Liginiteexisting,4,0.7115384615384616
Coalexisting,4,0.7115384615384616
Gasexisting,4,0.9038461538461539
Oilexisting,4,0.7592592592592591
Bioexisting,4,0.5714285714285714
Nuclear,4,0.5714285714285714
Liginiteexisting,5,0.8
Coalexisting,5,0.8
Gasexisting,5,0.92
Oilexisting,5,0.85
Bioexisting,5,0.7142857142857143
Nuclear,5,0.7142857142857143
Liginiteexisting,6,0.95
Coalexisting,6,0.95
Gasexisting,6,1.0
Oilexisting,6,0.95
Bioexisting,6,0.8571428571428571
Nuclear,6,0.8571428571428571
Windonshore,6,0.5
Windoffshore,6,0.5
Solar,6,0.5
Liginiteexisting,7,1.0
Coalexisting,7,1.0
Gasexisting,7,1.0
Oilexisting,7,1.0
Bioexisting,7,1.0
Nuclear,7,1.0
Windonshore,7,1.0
Windoffshore,7,1.0
Solar,7,1.0
Liginiteexisting,8,1.0
Coalexisting,8,1.0
Gasexisting,8,1.0
Oilexisting,8,1.0
Bioexisting,8,1.0
Nuclear,8,1.0
Windonshore,8,1.0
Windoffshore,8,1.0
Solar,8,1.0
