GeneratorTechnology,Period,generatorEfficiency
Bio,1,0.35
Bio,2,0.35
Bio,3,0.39
Bio,4,0.39
Bio,5,0.4
Bio,6,0.4
Bio,7,0.4
Bio,8,0.4
Bio10cofiring,1,0.45
Bio10cofiring,2,0.455
Bio10cofiring,3,0.46
Bio10cofiring,4,0.465
Bio10cofiring,5,0.47
Bio10cofiring,6,0.475
Bio10cofiring,7,0.48
Bio10cofiring,8,0.485
Bio10cofiringCCS,1,0.385
Bio10cofiringCCS,2,0.385
Bio10cofiringCCS,3,0.385
Bio10cofiringCCS,4,0.385
Bio10cofiringCCS,5,0.395
Bio10cofiringCCS,6,0.405
Bio10cofiringCCS,7,0.413
Bio10cofiringCCS,8,0.421
Bioexisting,1,0.35
Bioexisting,2,0.35
Bioexisting,3,0.39
Bioexisting,4,0.39
Bioexisting,5,0.4
Bioexisting,6,0.4
Bioexisting,7,0.4
Bioexisting,8,0.4
Coal,1,0.38
Coal,2,0.38
Coal,3,0.42
Coal,4,0.42
Coal,5,0.43
Coal,6,0.43
Coal,7,0.43
Coal,8,0.43
CoalCCS,1,0.37
CoalCCS,2,0.37
CoalCCS,3,0.39
CoalCCS,4,0.39
CoalCCS,5,0.4
CoalCCS,6,0.4
CoalCCS,7,0.41
CoalCCS,8,0.41
CoalCCSadv,1,0.385
CoalCCSadv,2,0.385
CoalCCSadv,3,0.385
CoalCCSadv,4,0.385
CoalCCSadv,5,0.395
CoalCCSadv,6,0.405
CoalCCSadv,7,0.413
CoalCCSadv,8,0.421
Coalexisting,1,0.38
Coalexisting,2,0.38
Coalexisting,3,0.42
Coalexisting,4,0.42
Coalexisting,5,0.43
Coalexisting,6,0.43
Coalexisting,7,0.43
Coalexisting,8,0.43
GasCCGT,1,0.57
GasCCGT,2,0.57
GasCCGT,3,0.58
GasCCGT,4,0.58
GasCCGT,5,0.59
GasCCGT,6,0.59
GasCCGT,7,0.59
GasCCGT,8,0.59
GasCCS,1,0.43
GasCCS,2,0.43
GasCCS,3,0.46
GasCCS,4,0.46
GasCCS,5,0.48
GasCCS,6,0.48
GasCCS,7,0.49
GasCCS,8,0.49
GasCCSadv,1,0.52125
GasCCSadv,2,0.52125
GasCCSadv,3,0.52125
GasCCSadv,4,0.52125
GasCCSadv,5,0.538
GasCCSadv,6,0.555
GasCCSadv,7,0.569
GasCCSadv,8,0.584
Gasexisting,1,0.48
Gasexisting,2,0.489
Gasexisting,3,0.498
Gasexisting,4,0.506
Gasexisting,5,0.515
Gasexisting,6,0.524
Gasexisting,7,0.533
Gasexisting,8,0.541
GasOCGT,1,0.4
GasOCGT,2,0.403
GasOCGT,3,0.405
GasOCGT,4,0.408
GasOCGT,5,0.41
GasOCGT,6,0.413
GasOCGT,7,0.415
GasOCGT,8,0.418
Geo,1,0.1
Geo,2,0.1
Geo,3,0.1
Geo,4,0.1
Geo,5,0.1
Geo,6,0.1
Geo,7,0.1
Geo,8,0.1
Hydroregulated,1,1.0
Hydroregulated,2,1.0
Hydroregulated,3,1.0
Hydroregulated,4,1.0
Hydroregulated,5,1.0
Hydroregulated,6,1.0
Hydroregulated,7,1.0
Hydroregulated,8,1.0
Hydrorun-of-the-river,1,1.0
Hydrorun-of-the-river,2,1.0
Hydrorun-of-the-river,3,1.0
Hydrorun-of-the-river,4,1.0
Hydrorun-of-the-river,5,1.0
Hydrorun-of-the-river,6,1.0
Hydrorun-of-the-river,7,1.0
Hydrorun-of-the-river,8,1.0
Liginiteexisting,1,0.351441762734934
Liginiteexisting,2,0.35355220341866744
Liginiteexisting,3,0.35566264410240084
Liginiteexisting,4,0.35777308478613423
Liginiteexisting,5,0.3598835254698677
Liginiteexisting,6,0.36199396615360113
Liginiteexisting,7,0.3641044068373345
Liginiteexisting,8,0.3662148475210679
Lignite,1,0.37
Lignite,2,0.37
Lignite,3,0.38
Lignite,4,0.38
Lignite,5,0.37
Lignite,6,0.37
Lignite,7,0.37
Lignite,8,0.37
LigniteCCSadv,1,0.373
LigniteCCSadv,2,0.373
LigniteCCSadv,3,0.373
LigniteCCSadv,4,0.373
LigniteCCSadv,5,0.385
LigniteCCSadv,6,0.398
LigniteCCSadv,7,0.408
LigniteCCSadv,8,0.419
LigniteCCSsup,1,0.32
LigniteCCSsup,2,0.32
LigniteCCSsup,3,0.32
LigniteCCSsup,4,0.32
LigniteCCSsup,5,0.32
LigniteCCSsup,6,0.32
LigniteCCSsup,7,0.32
LigniteCCSsup,8,0.32
Nuclear,1,0.38
Nuclear,2,0.38
Nuclear,3,0.38
Nuclear,4,0.38
Nuclear,5,0.38
Nuclear,6,0.38
Nuclear,7,0.38
Nuclear,8,0.38
Oilexisting,1,0.376
Oilexisting,2,0.376
Oilexisting,3,0.376
Oilexisting,4,0.376
Oilexisting,5,0.376
Oilexisting,6,0.376
Oilexisting,7,0.376
Oilexisting,8,0.376
Solar,1,1.0
Solar,2,1.0
Solar,3,1.0
Solar,4,1.0
Solar,5,1.0
Solar,6,1.0
Solar,7,1.0
Solar,8,1.0
Wave,1,1.0
Wave,2,1.0
Wave,3,1.0
Wave,4,1.0
Wave,5,1.0
Wave,6,1.0
Wave,7,1.0
Wave,8,1.0
Windoffshore,1,1.0
Windoffshore,2,1.0
Windoffshore,3,1.0
Windoffshore,4,1.0
Windoffshore,5,1.0
Windoffshore,6,1.0
Windoffshore,7,1.0
Windoffshore,8,1.0
Windonshore,1,1.0
Windonshore,2,1.0
Windonshore,3,1.0
Windonshore,4,1.0
Windonshore,5,1.0
Windonshore,6,1.0
Windonshore,7,1.0
Windonshore,8,1.0
Waste,1,0.33
Waste,2,0.33
Waste,3,0.34
Waste,4,0.34
Waste,5,0.34
Waste,6,0.34
Waste,7,0.34
Waste,8,0.34
