GeneratorTechnology,Period,generatorTypeFuelCost_in_euro_per_GJ
Liginiteexisting,1,1.4
Lignite,1,1.4
LigniteCCSadv,1,1.4
LigniteCCSsup,1,1.4
Coalexisting,1,2.3852185361603966
Coal,1,2.3852185361603966
CoalCCSadv,1,2.3852185361603966
CoalCCS,1,2.3852185361603966
Gasexisting,1,8.045590425201652
GasOCGT,1,8.045590425201652
GasCCGT,1,8.045590425201652
GasCCSadv,1,8.045590425201652
GasCCS,1,8.045590425201652
Oilexisting,1,12.5
Bioexisting,1,8.228000000000002
Bio10cofiring,1,2.9694966825443574
Bio10cofiringCCS,1,2.9694966825443574
Nuclear,1,1.0404
Wave,1,0.0
Geo,1,0.0
Hydroregulated,1,0.0
Hydrorun-of-the-river,1,0.0
Bio,1,8.228000000000002
Windonshore,1,0.0
Windoffshore,1,0.0
Solar,1,0.0
Liginiteexisting,2,1.4
Lignite,2,1.4
LigniteCCSadv,2,1.4
LigniteCCSsup,2,1.4
Coalexisting,2,2.850102550697139
Coal,2,2.850102550697139
CoalCCSadv,2,2.850102550697139
CoalCCS,2,2.850102550697139
Gasexisting,2,8.704548209921803
GasOCGT,2,8.704548209921803
GasCCGT,2,8.704548209921803
GasCCSadv,2,8.704548209921803
GasCCS,2,8.704548209921803
Oilexisting,2,14.2
Bioexisting,2,9.050800000000002
Bio10cofiring,2,3.4701722956274255
Bio10cofiringCCS,2,3.4701722956274255
Nuclear,2,1.061208
Wave,2,0.0
Geo,2,0.0
Hydroregulated,2,0.0
Hydrorun-of-the-river,2,0.0
Bio,2,9.050800000000002
Windonshore,2,0.0
Windoffshore,2,0.0
Solar,2,0.0
Liginiteexisting,3,1.5
Lignite,3,1.5
LigniteCCSadv,3,1.5
LigniteCCSsup,3,1.5
Coalexisting,3,3.420491466266518
Coal,3,3.420491466266518
CoalCCSadv,3,3.420491466266518
CoalCCS,3,3.420491466266518
Gasexisting,3,9.466194076584102
GasOCGT,3,9.466194076584102
GasCCGT,3,9.466194076584102
GasCCSadv,3,9.466194076584102
GasCCS,3,9.466194076584102
Oilexisting,3,15.6
Bioexisting,3,9.955880000000004
Bio10cofiring,3,4.074030319639867
Bio10cofiringCCS,3,4.074030319639867
Nuclear,3,1.08243216
Wave,3,0.0
Geo,3,0.0
Hydroregulated,3,0.0
Hydrorun-of-the-river,3,0.0
Bio,3,9.955880000000004
Windonshore,3,0.0
Windoffshore,3,0.0
Solar,3,0.0
Liginiteexisting,4,1.5
Lignite,4,1.5
LigniteCCSadv,4,1.5
LigniteCCSsup,4,1.5
Coalexisting,4,3.62191552982939
Coal,4,3.62191552982939
CoalCCSadv,4,3.62191552982939
CoalCCS,4,3.62191552982939
Gasexisting,4,10.110006791865812
GasOCGT,4,10.110006791865812
GasCCGT,4,10.110006791865812
GasCCSadv,4,10.110006791865812
GasCCS,4,10.110006791865812
Oilexisting,4,16.3
Bioexisting,4,10.951468000000006
Bio10cofiring,4,4.354870776846452
Bio10cofiringCCS,4,4.354870776846452
Nuclear,4,1.1040808032
Wave,4,0.0
Geo,4,0.0
Hydroregulated,4,0.0
Hydrorun-of-the-river,4,0.0
Bio,4,10.951468000000006
Windonshore,4,0.0
Windoffshore,4,0.0
Solar,4,0.0
Liginiteexisting,5,1.5
Lignite,5,1.5
LigniteCCSadv,5,1.5
LigniteCCSsup,5,1.5
Coalexisting,5,3.775182257923875
Coal,5,3.775182257923875
CoalCCSadv,5,3.775182257923875
CoalCCS,5,3.775182257923875
Gasexisting,5,10.450929406186267
GasOCGT,5,10.450929406186267
GasCCGT,5,10.450929406186267
GasCCSadv,5,10.450929406186267
GasCCS,5,10.450929406186267
Oilexisting,5,17.3
Bioexisting,5,12.046614800000008
