Node,GeneratorTechnology,generatorMaxInstallCapacity__in_MW
Austria,Bio,200000.0
Belgium,Bio,200000.0
Bulgaria,Bio,200000.0
Switzerland,Bio,200000.0
CzechR,Bio,200000.0
Germany,Bio,200000.0
Denmark,Bio,200000.0
Estonia,Bio,200000.0
Spain,Bio,200000.0
Finland,Bio,200000.0
France,Bio,200000.0
GreatBrit.,Bio,200000.0
Greece,Bio,200000.0
Hungary,Bio,200000.0
Ireland,Bio,200000.0
Italy,Bio,200000.0
Lithuania,Bio,200000.0
Luxemb.,Bio,200000.0
Latvia,Bio,200000.0
Netherlands,Bio,200000.0
Poland,Bio,200000.0
Portugal,Bio,200000.0
Romania,Bio,200000.0
Sweden,Bio,200000.0
Slovenia,Bio,200000.0
Slovakia,Bio,200000.0
Austria,CCS,800000.0
BosniaH,CCS,800000.0
Belgium,CCS,800000.0
Bulgaria,CCS,800000.0
Switzerland,CCS,800000.0
CzechR,CCS,800000.0
Germany,CCS,800000.0
Denmark,CCS,800000.0
Estonia,CCS,800000.0
Spain,CCS,800000.0
Finland,CCS,800000.0
France,CCS,800000.0
GreatBrit.,CCS,800000.0
Greece,CCS,800000.0
Croatia,CCS,800000.0
Hungary,CCS,800000.0
Ireland,CCS,800000.0
Italy,CCS,800000.0
Lithuania,CCS,800000.0
Luxemb.,CCS,800000.0
Latvia,CCS,800000.0
Macedonia,CCS,800000.0
Netherlands,CCS,800000.0
NO1,CCS,800000.0
NO2,CCS,800000.0
NO3,CCS,800000.0
NO4,CCS,800000.0
NO5,CCS,800000.0
Poland,CCS,800000.0
Portugal,CCS,800000.0
Romania,CCS,800000.0
Serbia,CCS,800000.0
Sweden,CCS,800000.0
Slovenia,CCS,800000.0
Slovakia,CCS,800000.0
Austria,Geo,1.0
Belgium,Geo,3.5
CzechR,Geo,4.4
Germany,Geo,300.0
Spain,Geo,50.0
France,Geo,80.0
Greece,Geo,120.0
Hungary,Geo,57.0
Italy,Geo,1000.0
Latvia,Geo,10.0
Portugal,Geo,75.0
Slovakia,Geo,4.0
Austria,Coal,200000.0
BosniaH,Coal,200000.0
Belgium,Coal,200000.0
Bulgaria,Coal,200000.0
CzechR,Coal,200000.0
Germany,Coal,200000.0
Denmark,Coal,200000.0
Estonia,Coal,200000.0
Spain,Coal,200000.0
Finland,Coal,200000.0
France,Coal,200000.0
GreatBrit.,Coal,200000.0
Croatia,Coal,200000.0
Hungary,Coal,200000.0
Ireland,Coal,200000.0
Italy,Coal,200000.0
Latvia,Coal,200000.0
Netherlands,Coal,200000.0
Poland,Coal,200000.0
Portugal,Coal,200000.0
Romania,Coal,200000.0
Sweden,Coal,200000.0
Slovenia,Coal,200000.0
Slovakia,Coal,200000.0
Austria,CoFire,200000.0
BosniaH,CoFire,200000.0
Belgium,CoFire,200000.0
Bulgaria,CoFire,200000.0
CzechR,CoFire,200000.0
Germany,CoFire,200000.0
Denmark,CoFire,200000.0
Estonia,CoFire,200000.0
Spain,CoFire,200000.0
Finland,CoFire,200000.0
France,CoFire,200000.0
GreatBrit.,CoFire,200000.0
Croatia,CoFire,200000.0
Hungary,CoFire,200000.0
Ireland,CoFire,200000.0
Italy,CoFire,200000.0
Latvia,CoFire,200000.0
Netherlands,CoFire,200000.0
Poland,CoFire,200000.0
Portugal,CoFire,200000.0
Romania,CoFire,200000.0
Sweden,CoFire,200000.0
Slovenia,CoFire,200000.0
Slovakia,CoFire,200000.0
Spain,Wave,120.0
Finland,Wave,12.0
France,Wave,450.0
GreatBrit.,Wave,1500.0
Ireland,Wave,90.0
Italy,Wave,7.0
Netherlands,Wave,162.0
Portugal,Wave,300.0
Austria,Existing,1000000.0
BosniaH,Existing,1000000.0
Belgium,Existing,1000000.0
Bulgaria,Existing,1000000.0
Switzerland,Existing,1000000.0
CzechR,Existing,1000000.0
Germany,Existing,1000000.0
Denmark,Existing,1000000.0
Estonia,Existing,1000000.0
Spain,Existing,1000000.0
Finland,Existing,1000000.0
France,Existing,1000000.0
GreatBrit.,Existing,1000000.0
Greece,Existing,1000000.0
Croatia,Existing,1000000.0
Hungary,Existing,1000000.0
Ireland,Existing,1000000.0
Italy,Existing,1000000.0
Lithuania,Existing,1000000.0
Luxemb.,Existing,1000000.0
Latvia,Existing,1000000.0
Macedonia,Existing,1000000.0
Netherlands,Existing,1000000.0
NO1,Existing,1000000.0
NO2,Existing,1000000.0
NO3,Existing,1000000.0
NO4,Existing,1000000.0
NO5,Existing,1000000.0
Poland,Existing,1000000.0
Portugal,Existing,1000000.0
Romania,Existing,1000000.0
Serbia,Existing,1000000.0
Sweden,Existing,1000000.0
Slovenia,Existing,1000000.0
Slovakia,Existing,1000000.0
Austria,Gas,200000.0
BosniaH,Gas,200000.0
Belgium,Gas,200000.0
Bulgaria,Gas,200000.0
Switzerland,Gas,200000.0
CzechR,Gas,200000.0
Germany,Gas,200000.0
Denmark,Gas,200000.0
Estonia,Gas,200000.0
Spain,Gas,200000.0
Finland,Gas,200000.0
France,Gas,200000.0
GreatBrit.,Gas,200000.0
Greece,Gas,200000.0
Croatia,Gas,200000.0
Hungary,Gas,200000.0
Ireland,Gas,200000.0
Italy,Gas,200000.0
Lithuania,Gas,200000.0
Luxemb.,Gas,200000.0
Latvia,Gas,200000.0
Macedonia,Gas,200000.0
Netherlands,Gas,200000.0
NO1,Gas,200000.0
NO2,Gas,200000.0
NO3,Gas,200000.0
NO4,Gas,200000.0
NO5,Gas,200000.0
Poland,Gas,200000.0
Portugal,Gas,200000.0
Romania,Gas,200000.0
Serbia,Gas,200000.0
Sweden,Gas,200000.0
Slovenia,Gas,200000.0
Slovakia,Gas,200000.0
Austria,Hcoal,200000.0
BosniaH,Hcoal,200000.0
Belgium,Hcoal,200000.0
Bulgaria,Hcoal,200000.0
CzechR,Hcoal,200000.0
Germany,Hcoal,200000.0
Denmark,Hcoal,200000.0
Estonia,Hcoal,200000.0
Spain,Hcoal,200000.0
Finland,Hcoal,200000.0
France,Hcoal,200000.0
GreatBrit.,Hcoal,200000.0
Croatia,Hcoal,200000.0
Hungary,Hcoal,200000.0
Ireland,Hcoal,200000.0
Italy,Hcoal,200000.0
