Nodes,HydroGenMaxAnnualProduction_in_MWh_per_year
Austria,45475000.0
BosniaH,5694540.0
Belgium,470800.0
Bulgaria,3971840.0
Switzerland,40660000.0
CzechR,2433180.0000000005
Germany,23540000.0
Denmark,33170.0
Estonia,32100.0
Spain,44940000.0
Finland,16050000.000000002
France,77040000.0
GreatBrit.,6955000.0
Greece,7490000.0
Croatia,6303370.000000001
Hungary,267500.0
Ireland,802500.0
Italy,44940000.0
Lithuania,513600.0
Luxemb.,133750.0
Latvia,3263500.0
Macedonia,1728050.0000000002
Netherlands,203300.0
NO1,19613100.0
NO2,49787100.0
NO3,22630500.0
NO4,27156600.0
NO5,31682700.0
Poland,3210000.0
Portugal,16050000.000000002
Romania,21400000.0
Serbia,13910000.0
Sweden,73830000.0
Slovenia,5510500.0
Slovakia,5885000.0
