Nodes,Period,ElectricAdjustment_in_MWh
Austria,1,69208495.58768041
BosniaH,1,12747852.69121813
Belgium,1,87183947.751946
Bulgaria,1,30091636.773569833
Switzerland,1,65368927.53283874
CzechR,1,63202871.91379661
Germany,1,545224314.0131292
Denmark,1,34711942.50134293
Estonia,1,7952492.033148475
Spain,1,251274180.6969777
Finland,1,81619243.25802527
France,1,471216108.68781394
GreatBrit.,1,343567422.1703151
Greece,1,55030848.01953944
Croatia,1,16596829.207711726
Hungary,1,37759260.52594516
Ireland,1,26403956.60291737
Italy,1,312034910.2011373
Lithuania,1,11005876.477772767
Luxemb.,1,6965864.496581133
Latvia,1,7352029.870388653
Macedonia,1,9411301.699716713
Netherlands,1,115528143.27247278
NO1,1,37530000.0
NO2,1,37530000.0
NO3,1,27800000.0
NO4,1,19460000.0
NO5,1,16680000.0
Poland,1,152022405.91455352
Portugal,1,47741130.22370876
Romania,1,51780757.83370384
Serbia,1,41846396.60056657
Sweden,1,137851471.99100554
Slovenia,1,13553099.789310794
Slovakia,1,28622933.759214714
Austria,2,72012406.12842907
BosniaH,2,12467025.495750709
Belgium,2,88812131.18713899
Bulgaria,2,30823842.04856563
Switzerland,2,65886855.06567749
CzechR,2,65857700.24242049
Germany,2,577931296.5049382
Denmark,2,36138861.79626279
Estonia,2,8259316.198084223
Spain,2,254997023.2478895
Finland,2,84989994.21104287
France,2,475874034.02486426
GreatBrit.,2,348197908.2211853
Greece,2,53085592.89126595
Croatia,2,16591527.019959852
Hungary,2,40429082.48067897
Ireland,2,27130808.18490499
Italy,2,311863890.2938935
Lithuania,2,11132216.025864094
Luxemb.,2,7610060.997886756
Latvia,2,7977700.684980584
Macedonia,2,9203976.628895182
Netherlands,2,117710184.59512806
NO1,2,40500000.0
NO2,2,40500000.0
NO3,2,30000000.0
NO4,2,21000000.000000004
NO5,2,18000000.0
Poland,2,164150125.05411458
Portugal,2,48291685.105574846
Romania,2,53903161.0989127
Serbia,2,40924546.74220963
Sweden,2,143027829.6243963
Slovenia,2,14702925.202008557
