AT,BE,CZ,DE,DK,EE,ES,FI,FR,GB,HU,IE,LT,SE,NO1,NO2,NO3,NO4,NO5,PL,PT,RO,SI,SK,LV,CH,IT,MK,RS,BG,NL,time,hour,dayofweek,month,GR,HR,LU
0.269260658,0.759461733,0.454166469,0.393117428,0.546,0.58490566,0.5045,0.254406948,0.52062046,0.320142602,0.681801493,0.640276174,0.313043478,0.517968606,0.49131682,0.545506315,0.117707882,0.270394134,0.271125612,0.485170797,0.361170272,0.215935335,0.234744557,0.266412236,0.0,0.214986968,0.172943981,0.311985453,0.274590164,0.215258856,0.546,01/01/2015 00:00,0,3,1,0.311985453,0.234744557,0.759461733
0.263784722,0.757569386,0.454403335,0.390280351,0.54,0.58490566,0.4865,0.254734517,0.493290656,0.29483066,0.677273284,0.635368553,0.313043478,0.514479475,0.486516783,0.545384287,0.117874654,0.270323627,0.27132137,0.48490288,0.212158577,0.217667436,0.10047342,0.266844832,0.0,0.212423979,0.163051251,0.07213652,0.197745902,0.209809264,0.54,01/01/2015 01:00,1,3,1,0.07213652,0.10047342,0.757569386
0.258399147,0.762405383,0.454592828,0.389117271,0.54,0.58490566,0.4745,0.230528681,0.466207066,0.294117647,0.670419777,0.632289261,0.304347826,0.515278545,0.487988411,0.545201245,0.115840032,0.270394134,0.271582382,0.482893503,0.146396144,0.226327945,0.080336138,0.266921738,0.0,0.21340139,0.161740167,0.000939174,0.229508197,0.209809264,0.54,01/01/2015 02:00,2,3,1,0.000939174,0.080336138,0.762405383
0.261561817,0.769343987,0.45478232,0.387282849,0.538,0.58490566,0.4765,0.226369315,0.449833805,0.29483066,0.664790111,0.632529831,0.313043478,0.516077614,0.489080635,0.545282597,0.115573196,0.270394134,0.271908646,0.484822505,0.150879946,0.224018476,0.077751208,0.267017871,0.0,0.207754127,0.162812872,0.0,0.211065574,0.226158038,0.538,01/01/2015 03:00,3,3,1,0.0,0.077751208,0.769343987
0.261778685,0.78195963,0.45478232,0.385833795,0.542,0.58490566,0.476,0.246640512,0.442447372,0.294474153,0.655488924,0.640805427,0.304347826,0.513839383,0.485798215,0.545363949,0.115606551,0.270394134,0.273931485,0.483965171,0.153271307,0.22113164,0.080849251,0.268738644,0.062926459,0.213292789,0.169010727,0.0,0.200819672,0.237057221,0.542,01/01/2015 04:00,4,3,1,0.0,0.080849251,0.78195963
0.260188314,0.776492851,0.427590127,0.385385652,0.54,0.58490566,0.4805,0.263689343,0.420534285,0.296613191,0.649124954,0.637196882,0.408695652,0.511801965,0.483027415,0.545119893,0.115239652,0.270323627,0.275171289,0.452377763,0.212756417,0.322459584,0.192717662,0.269565385,0.122062168,0.258427454,0.213706794,0.001838382,0.40420082,0.313351499,0.54,01/01/2015 05:00,5,3,1,0.001838382,0.192717662,0.776492851
0.270598016,0.765349033,0.39807665,0.383838947,0.538,0.660377358,0.4915,0.297162337,0.404161024,0.31087344,0.646065353,0.647228637,0.578521739,0.515734558,0.487321579,0.545669019,0.115606551,0.270394134,0.285220228,0.497012726,0.236296379,0.358545035,0.219447967,0.297568807,0.234268385,0.259339705,0.341597139,0.037866677,0.481045082,0.395095368,0.538,01/01/2015 06:00,6,3,1,0.037866677,0.219447967,0.765349033
0.27386912,0.766820858,0.373347861,0.383724732,0.546,0.660377358,0.5005,0.320952998,0.42742829,0.425311943,0.645942969,0.64395689,0.752173913,0.510785347,0.479411579,0.545262259,0.118174844,0.270394134,0.294094617,0.533663764,0.199491836,0.3573903,0.306367447,0.294098421,0.356330553,0.243375326,0.455780691,0.051854368,0.647028689,0.403269755,0.546,01/01/2015 07:00,7,3,1,0.051854368,0.306367447,0.766820858
0.277935409,0.772497897,0.374390071,0.386743159,0.564,0.660377358,0.5205,0.313098956,0.4531577,0.450623886,0.643617672,0.638592186,0.660869565,0.513408471,0.482458309,0.545831723,0.118508389,0.270464641,0.297879282,0.547622237,0.281545417,0.394630485,0.439534906,0.298578199,0.340409401,0.237793223,0.478784267,0.118935337,0.713627049,0.403269755,0.564,01/01/2015 08:00,8,3,1,0.118935337,0.439534906,0.772497897
0.275170332,0.77901598,0.398550381,0.389016134,0.562,0.660377358,0.5205,0.307755009,0.467561246,0.537967914,0.644107208,0.745068322,0.339130435,0.512111552,0.481095903,0.546401188,0.120409593,0.270605655,0.287438825,0.558633624,0.283525763,0.412240185,0.453679411,0.33581035,0.371493556,0.254517811,0.404290822,0.191211734,0.752561475,0.411444142,0.562,01/01/2015 09:00,9,3,1,0.191211734,0.453679411,0.77901598
0.278965536,0.794154752,0.373442607,0.392236836,0.562,0.660377358,0.5345,0.300662756,0.478764003,0.52228164,0.646432505,0.867277714,0.47826087,0.512408588,0.480825721,0.54658423,0.120142757,0.277444828,0.288743883,0.567180174,0.237678885,0.387413395,0.454560417,0.334118416,0.3343442,0.246589922,0.337663886,0.216229718,0.671106557,0.400544959,0.562,01/01/2015 10:00,10,3,1,0.216229718,0.454560417,0.794154752
0.278730595,0.867746005,0.376758729,0.39313225,0.562,0.660377358,0.526,0.346095833,0.493290656,0.386809269,0.645698201,0.864078137,0.513043478,0.513077966,0.480963686,0.546604568,0.120543011,0.284707044,0.29004894,0.562384461,0.248327915,0.369515012,0.437588948,0.345721619,0.286580743,0.247132928,0.291299166,0.204060427,0.673155738,0.38147139,0.562,01/01/2015 11:00,11,3,1,0.204060427,0.437588948,0.867746005
0.276724559,0.898654331,0.377658819,0.391199306,0.564,0.660377358,0.5205,0.379370763,0.457712668,0.348663102,0.643372904,0.852145881,0.660869565,0.515404053,0.482797473,0.547052004,0.12151029,0.291828245,0.295595432,0.588720697,0.25781863,0.362297921,0.443910893,0.347269354,0.227445034,0.241311903,0.269606675,0.188214371,0.631147541,0.376021798,0.564,01/01/2015 12:00,12,3,1,0.188214371,0.443910893,0.898654331
0.276073952,0.905803196,0.376048131,0.390082436,0.562,0.660377358,0.514,0.375618953,0.42878247,0.404991087,0.644963897,0.857582756,0.530434783,0.516968723,0.483952931,0.547052004,0.121243454,0.298737926,0.301011419,0.604233088,0.204835033,0.389145497,0.447028299,0.348663276,0.225170584,0.236859253,0.287127533,0.283710335,0.601946721,0.365122616,0.562,01/01/2015 13:00,13,3,1,0.283710335,0.447028299,0.905803196
0.27650769,0.903700589,0.350419252,0.389161737,0.568,0.660377358,0.5115,0.380292527,0.4207805,0.475935829,0.644841513,0.842041955,0.543826087,0.512814398,0.479325351,0.546319836,0.120943264,0.284989071,0.304404568,0.593650368,0.183686433,0.376732102,0.511399832,0.34599079,0.3358605,0.238987837,0.325506555,0.259471665,0.544057377,0.373297003,0.568,01/01/2015 14:00,14,3,1,0.259471665,0.511399832,0.903700589
0.298321074,0.891295206,0.32848548,0.388042251,0.568,0.660377358,0.516,0.388550316,0.415856211,0.435650624,0.643617672,0.81543495,0.757565217,0.512358385,0.478123904,0.546197808,0.120843201,0.285130085,0.311386623,0.610931011,0.123977133,0.429561201,0.481106776,0.341088029,0.435178165,0.270742832,0.440524434,0.314463272,0.682889344,0.367847411,0.568,01/01/2015 15:00,15,3,1,0.314463272,0.481106776,0.891295206
0.319718793,0.885828427,0.312662845,0.38800912,0.57,0.641509434,0.518,0.380783881,0.452788379,0.557575758,0.64325052,0.775187644,0.544608696,0.514613351,0.48003817,0.545689357,0.119975985,0.299584009,0.314779772,0.638392498,0.164667638,0.399538106,0.543193502,0.341664824,0.457164519,0.268092963,0.528486293,0.393233954,0.720286885,0.367847411,0.57,01/01/2015 16:00,16,3,1,0.393233954,0.543193502,0.885828427
0.328050169,0.883515559,0.407314416,0.387741455,0.564,0.58490566,0.547,0.364085473,0.557675736,0.646702317,0.644107208,0.802805042,0.758130435,0.511354318,0.475042683,0.545750371,0.119242187,0.306916731,0.315106036,0.663121232,0.315323394,0.390300231,0.545652574,0.349826481,0.376042456,0.259296264,0.54624553,0.431580209,0.734118852,0.335149864,0.564,01/01/2015 17:00,17,3,1,0.431580209,0.545652574,0.883515559
0.32647787,0.85744323,0.427116396,0.38033663,0.562,0.58490566,0.5765,0.320968233,0.606426197,0.660962567,0.644229592,0.827126636,0.494217391,0.511613702,0.475881971,0.546340174,0.11844168,0.300289078,0.3154323,0.668747488,0.377984531,0.388279446,0.496335596,0.350307144,0.189537528,0.258427454,0.498092968,0.405303333,0.699795082,0.294277929,0.562,01/01/2015 18:00,18,3,1,0.405303333,0.496335596,0.85744323
0.325664612,0.870479394,0.472263016,0.38068538,0.56,0.58490566,0.607,0.313639826,0.59300751,0.570409982,0.647166809,0.82931582,0.351913043,0.509229044,0.472053438,0.545669019,0.117541109,0.307762815,0.318694943,0.630408573,0.372641333,0.377020785,0.521352296,0.353623718,0.19939348,0.258861859,0.378545888,0.329949644,0.566598361,0.291553134,0.56,01/01/2015 19:00,19,3,1,0.329949644,0.521352296,0.870479394
0.309128368,0.873633305,0.469989104,0.379810019,0.562,0.58490566,0.61,0.309213834,0.594607903,0.43030303,0.648268266,0.828882794,0.343913043,0.510438108,0.473203148,0.54627916,0.117974717,0.307833322,0.321631321,0.616342934,0.400590367,0.356235566,0.419068457,0.331099853,0.024260804,0.247458732,0.302264601,0.290724163,0.455430328,0.267029973,0.562,01/01/2015 20:00,20,3,1,0.290724163,0.419068457,0.873633305
0.27386912,0.859756098,0.473399972,0.3820673,0.572,0.58490566,0.589,0.278498515,0.586482827,0.356149733,0.648757802,0.817094881,0.326086957,0.507074485,0.468150175,0.546441864,0.115006171,0.314743002,0.325415987,0.537414601,0.372305048,0.269919169,0.32050227,0.310094883,0.012130402,0.23305821,0.242908224,0.477879466,0.483606557,0.25613079,0.572,01/01/2015 21:00,21,3,1,0.477879466,0.32050227,0.859756098
0.263278694,0.85765349,0.467762566,0.381120445,0.57,0.58490566,0.5475,0.242401158,0.54105626,0.300891266,0.646310121,0.764410123,0.304347826,0.507543049,0.470087435,0.543696231,0.112171042,0.314601988,0.325220228,0.513811119,0.396181295,0.237875289,0.238065272,0.308220297,0.013646702,0.230516942,0.211561383,0.524478459,0.411885246,0.223433243,0.57,01/01/2015 22:00,22,3,1,0.524478459,0.238065272,0.85765349
0.259338912,0.853658537,0.476242361,0.378757667,0.57,0.58490566,0.501,0.237034357,0.453650129,0.279857398,0.644841513,0.729912433,0.313043478,0.524758606,0.470714027,0.583335028,0.135719289,0.283226398,0.442414356,0.463174816,0.369988417,0.228493072,0.2191188,0.303586707,0.0030326,0.215095569,0.196543504,0.569368955,0.385758197,0.215258856,0.57,01/01/2015 23:00,23,3,1,0.569368955,0.2191188,0.853658537
0.25653769,0.858494533,0.476242361,0.37727025,0.57,0.58490566,0.4745,0.22209949,0.391234765,0.296613191,0.640435687,0.737442263,0.304347826,0.526139197,0.472611048,0.583335028,0.134785364,0.283719946,0.443784666,0.462906899,0.274371334,0.218533487,0.172396433,0.252367265,0.0,0.179843614,0.174851013,0.305051555,0.234887295,0.211171662,0.57,01/02/2015 00:00,0,6,2,0.305051555,0.172396433,0.858494533
