time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MK,NL,NO1,NO2,NO3,NO4,NO5,PL,PT,RO,SE,SI,SK,BA,RS
01/01/2015 00:00,0.0899,0.1346,0.7241,0.1864,0.1482,0.1566,0.4236,0.1942,0.3538,0.4544,0.1257,0.6827,0.8469,0.4549,0.1387,0.5698,0.6364,0.3873,0.0411,0.3234,0.1854,0.298,0.0511,0.3982,0.6222,0.3292,0.6414,0.298,0.3523,0.2485,0.4379,0.1583,0.0079,0.4549,0.1854
01/01/2015 01:00,0.1073,0.1372,0.7046,0.1351,0.1484,0.1659,0.4317,0.193,0.3434,0.4584,0.1234,0.6759,0.8446,0.4476,0.1308,0.5881,0.6489,0.4015,0.0352,0.344,0.2104,0.282,0.0609,0.4096,0.5848,0.3533,0.6157,0.3126,0.4129,0.2343,0.4416,0.1445,0.0021,0.4476,0.2104
01/01/2015 02:00,0.1261,0.1514,0.6857,0.0966,0.1497,0.1746,0.442,0.1944,0.3182,0.4347,0.124,0.6666,0.843,0.4375,0.1031,0.6096,0.6525,0.4123,0.0287,0.3791,0.2194,0.2904,0.0638,0.5008,0.5286,0.359,0.5853,0.3347,0.4341,0.2108,0.4501,0.1322,0.0,0.4375,0.2194
01/01/2015 03:00,0.1247,0.1673,0.6459,0.0753,0.1504,0.1745,0.4623,0.2062,0.2894,0.4086,0.1302,0.6562,0.8434,0.4518,0.0854,0.6187,0.6429,0.4193,0.0239,0.3979,0.2465,0.3099,0.0641,0.5784,0.4568,0.3632,0.5847,0.3396,0.4157,0.1841,0.444,0.1154,0.0,0.4518,0.2465
01/01/2015 04:00,0.137,0.1865,0.6193,0.0626,0.155,0.1826,0.5003,0.2228,0.2679,0.3834,0.1398,0.6532,0.8496,0.4774,0.0787,0.6232,0.6209,0.437,0.022,0.4189,0.2762,0.314,0.0719,0.6626,0.4228,0.4056,0.6169,0.3402,0.3845,0.1598,0.4429,0.1024,0.0,0.4774,0.2762
01/01/2015 05:00,0.1546,0.1814,0.5985,0.0548,0.1509,0.1869,0.5322,0.2418,0.2557,0.3694,0.1366,0.6397,0.8558,0.5008,0.0712,0.681,0.5985,0.4883,0.0302,0.4185,0.2806,0.3326,0.0747,0.7105,0.3893,0.4453,0.6276,0.3356,0.3664,0.1442,0.4519,0.0962,0.0,0.5008,0.2806
01/01/2015 06:00,0.1701,0.1843,0.5569,0.0528,0.1419,0.1999,0.5897,0.2659,0.2482,0.3617,0.129,0.5977,0.8531,0.5148,0.0677,0.7517,0.5768,0.5178,0.0478,0.4401,0.2806,0.3631,0.0885,0.6714,0.3968,0.5319,0.6772,0.3507,0.3657,0.129,0.4753,0.0881,0.0001,0.5148,0.2806
01/01/2015 07:00,0.1667,0.2054,0.5235,0.0524,0.1208,0.212,0.6466,0.2998,0.2376,0.3526,0.1356,0.5906,0.8603,0.5081,0.0667,0.8418,0.5148,0.5537,0.0718,0.473,0.3154,0.3822,0.1151,0.6026,0.3753,0.588,0.7227,0.3521,0.3816,0.0971,0.4952,0.0702,0.0008,0.5081,0.3154
01/01/2015 08:00,0.1293,0.2824,0.4715,0.0379,0.1061,0.2281,0.6436,0.3491,0.2101,0.3254,0.1526,0.6058,0.8745,0.479,0.0643,0.9241,0.4888,0.5392,0.0944,0.4939,0.2695,0.4266,0.1375,0.5626,0.4284,0.5835,0.7656,0.3594,0.3694,0.0781,0.5094,0.0435,0.0005,0.479,0.2695
01/01/2015 09:00,0.1259,0.286,0.4418,0.0129,0.1049,0.2452,0.6246,0.3911,0.1344,0.3075,0.1412,0.6658,0.8896,0.4872,0.059,0.9574,0.5406,0.5899,0.0722,0.5218,0.2025,0.4044,0.1686,0.5405,0.4496,0.5662,0.7636,0.3784,0.1983,0.0855,0.5233,0.0337,0.0016,0.4872,0.2025
