Node,Storage
Austria,HydroPumpStorage
Austria,Li-Ion_BESS
BosniaH,HydroPumpStorage
BosniaH,Li-Ion_BESS
Belgium,HydroPumpStorage
Belgium,Li-Ion_BESS
Bulgaria,HydroPumpStorage
Bulgaria,Li-Ion_BESS
Switzerland,HydroPumpStorage
Switzerland,Li-Ion_BESS
CzechR,HydroPumpStorage
CzechR,Li-Ion_BESS
Germany,HydroPumpStorage
Germany,Li-Ion_BESS
Denmark,Li-Ion_BESS
Estonia,Li-Ion_BESS
Spain,HydroPumpStorage
Spain,Li-Ion_BESS
Finland,HydroPumpStorage
Finland,Li-Ion_BESS
France,HydroPumpStorage
France,Li-Ion_BESS
GreatBrit.,HydroPumpStorage
GreatBrit.,Li-Ion_BESS
Greece,HydroPumpStorage
Greece,Li-Ion_BESS
Croatia,HydroPumpStorage
Croatia,Li-Ion_BESS
Hungary,HydroPumpStorage
Hungary,Li-Ion_BESS
Ireland,HydroPumpStorage
Ireland,Li-Ion_BESS
Italy,HydroPumpStorage
Italy,Li-Ion_BESS
Lithuania,HydroPumpStorage
Lithuania,Li-Ion_BESS
Luxemb.,HydroPumpStorage
Luxemb.,Li-Ion_BESS
Latvia,Li-Ion_BESS
Macedonia,HydroPumpStorage
Macedonia,Li-Ion_BESS
Netherlands,Li-Ion_BESS
NO1,HydroPumpStorage
NO1,Li-Ion_BESS
NO2,HydroPumpStorage
NO2,Li-Ion_BESS
NO3,HydroPumpStorage
NO3,Li-Ion_BESS
NO4,HydroPumpStorage
NO4,Li-Ion_BESS
NO5,HydroPumpStorage
NO5,Li-Ion_BESS
Poland,HydroPumpStorage
Poland,Li-Ion_BESS
Portugal,HydroPumpStorage
Portugal,Li-Ion_BESS
Romania,HydroPumpStorage
Romania,Li-Ion_BESS
Serbia,HydroPumpStorage
Serbia,Li-Ion_BESS
Sweden,HydroPumpStorage
Sweden,Li-Ion_BESS
Slovenia,Li-Ion_BESS
Slovenia,HydroPumpStorage
Slovakia,HydroPumpStorage
Slovakia,Li-Ion_BESS
