Nodes,StorageTypes,EnergyMaxInstalledCapacity
Austria,HydroPumpStorage,137174.40000000002
BosniaH,HydroPumpStorage,2419.2740000000003
Belgium,HydroPumpStorage,8538.75
Bulgaria,HydroPumpStorage,1649.1200000000001
Switzerland,HydroPumpStorage,405887.9
CzechR,HydroPumpStorage,7395.85
Germany,HydroPumpStorage,42488.600000000006
Spain,HydroPumpStorage,1683166.001
France,HydroPumpStorage,202725.6
GreatBrit.,HydroPumpStorage,36775.200000000004
Greece,HydroPumpStorage,23309.484
Croatia,HydroPumpStorage,23309.484
Hungary,HydroPumpStorage,1649.1200000000001
Ireland,HydroPumpStorage,2419.2740000000003
Italy,HydroPumpStorage,42488.600000000006
Lithuania,HydroPumpStorage,54208.00000000001
Luxemb.,HydroPumpStorage,6732.000000000001
NO1,HydroPumpStorage,1559.1490200000003
NO2,HydroPumpStorage,3957.83982
NO3,HydroPumpStorage,1799.0181
NO4,HydroPumpStorage,2158.82172
NO5,HydroPumpStorage,2518.62534
Poland,HydroPumpStorage,11993.454
Portugal,HydroPumpStorage,117979.48800000001
Romania,HydroPumpStorage,4055.0320800000004
Serbia,HydroPumpStorage,23309.484
Sweden,HydroPumpStorage,2419.2740000000003
Slovenia,HydroPumpStorage,2970.0000000000005
Slovakia,HydroPumpStorage,4055.0320800000004
Austria,Li-Ion_BESS,20000000.0
BosniaH,Li-Ion_BESS,20000000.0
Belgium,Li-Ion_BESS,20000000.0
Bulgaria,Li-Ion_BESS,20000000.0
Switzerland,Li-Ion_BESS,20000000.0
CzechR,Li-Ion_BESS,20000000.0
Germany,Li-Ion_BESS,20000000.0
Denmark,Li-Ion_BESS,20000000.0
Estonia,Li-Ion_BESS,20000000.0
Spain,Li-Ion_BESS,20000000.0
Finland,Li-Ion_BESS,20000000.0
France,Li-Ion_BESS,20000000.0
GreatBrit.,Li-Ion_BESS,20000000.0
Greece,Li-Ion_BESS,20000000.0
Croatia,Li-Ion_BESS,20000000.0
Hungary,Li-Ion_BESS,20000000.0
Ireland,Li-Ion_BESS,20000000.0
Italy,Li-Ion_BESS,20000000.0
Lithuania,Li-Ion_BESS,20000000.0
Luxemb.,Li-Ion_BESS,20000000.0
Latvia,Li-Ion_BESS,20000000.0
Macedonia,Li-Ion_BESS,20000000.0
Netherlands,Li-Ion_BESS,20000000.0
NO1,Li-Ion_BESS,20000000.0
NO2,Li-Ion_BESS,20000000.0
NO3,Li-Ion_BESS,20000000.0
NO4,Li-Ion_BESS,20000000.0
NO5,Li-Ion_BESS,20000000.0
Poland,Li-Ion_BESS,20000000.0
Portugal,Li-Ion_BESS,20000000.0
Romania,Li-Ion_BESS,20000000.0
Serbia,Li-Ion_BESS,20000000.0
Sweden,Li-Ion_BESS,20000000.0
Slovenia,Li-Ion_BESS,20000000.0
Slovakia,Li-Ion_BESS,20000000.0
