Nodes,StorageTypes,Period,PowerMaxBuiltCapacity
Austria,HydroPumpStorage,1,500000
BosniaH,HydroPumpStorage,1,500000
Belgium,HydroPumpStorage,1,500000
Bulgaria,HydroPumpStorage,1,500000
Switzerland,HydroPumpStorage,1,500000
CzechR,HydroPumpStorage,1,500000
Germany,HydroPumpStorage,1,500000
Spain,HydroPumpStorage,1,500000
Finland,HydroPumpStorage,1,500000
France,HydroPumpStorage,1,500000
GreatBrit.,HydroPumpStorage,1,500000
Greece,HydroPumpStorage,1,500000
Croatia,HydroPumpStorage,1,500000
Hungary,HydroPumpStorage,1,500000
Ireland,HydroPumpStorage,1,500000
Italy,HydroPumpStorage,1,500000
Lithuania,HydroPumpStorage,1,500000
Luxemb.,HydroPumpStorage,1,500000
Macedonia,HydroPumpStorage,1,500000
NO1,HydroPumpStorage,1,500000
NO2,HydroPumpStorage,1,500000
NO3,HydroPumpStorage,1,500000
NO4,HydroPumpStorage,1,500000
NO5,HydroPumpStorage,1,500000
Poland,HydroPumpStorage,1,500000
Portugal,HydroPumpStorage,1,500000
Romania,HydroPumpStorage,1,500000
Serbia,HydroPumpStorage,1,500000
Sweden,HydroPumpStorage,1,500000
Slovakia,HydroPumpStorage,1,500000
Austria,Li-Ion_BESS,1,500000
BosniaH,Li-Ion_BESS,1,500000
Belgium,Li-Ion_BESS,1,500000
Bulgaria,Li-Ion_BESS,1,500000
Switzerland,Li-Ion_BESS,1,500000
CzechR,Li-Ion_BESS,1,500000
Germany,Li-Ion_BESS,1,500000
Denmark,Li-Ion_BESS,1,500000
Estonia,Li-Ion_BESS,1,500000
Spain,Li-Ion_BESS,1,500000
Finland,Li-Ion_BESS,1,500000
France,Li-Ion_BESS,1,500000
GreatBrit.,Li-Ion_BESS,1,500000
Greece,Li-Ion_BESS,1,500000
Croatia,Li-Ion_BESS,1,500000
Hungary,Li-Ion_BESS,1,500000
Ireland,Li-Ion_BESS,1,500000
Italy,Li-Ion_BESS,1,500000
Lithuania,Li-Ion_BESS,1,500000
Luxemb.,Li-Ion_BESS,1,500000
Latvia,Li-Ion_BESS,1,500000
Macedonia,Li-Ion_BESS,1,500000
Netherlands,Li-Ion_BESS,1,500000
NO1,Li-Ion_BESS,1,500000
NO2,Li-Ion_BESS,1,500000
NO3,Li-Ion_BESS,1,500000
NO4,Li-Ion_BESS,1,500000
NO5,Li-Ion_BESS,1,500000
Poland,Li-Ion_BESS,1,500000
Portugal,Li-Ion_BESS,1,500000
Romania,Li-Ion_BESS,1,500000
Serbia,Li-Ion_BESS,1,500000
Sweden,Li-Ion_BESS,1,500000
Slovenia,Li-Ion_BESS,1,500000
Slovakia,Li-Ion_BESS,1,500000
