FromNode,ToNode,lineLength_in_km
Switzerland,Austria,355.583879096
CzechR,Austria,253.3455435094
Germany,Austria,490.1242999276
Hungary,Austria,338.3496671533
Italy,Austria,485.9159178264
Slovenia,Austria,151.3699605718
Croatia,BosniaH,190.5919036125
Serbia,BosniaH,190.298459399
France,Belgium,444.6585871476
Luxemb.,Belgium,129.0493737912
Netherlands,Belgium,175.0
Greece,Bulgaria,427.9430623325
Macedonia,Bulgaria,269.5376549673
Romania,Bulgaria,395.0076225819
Serbia,Bulgaria,311.5642925532
Germany,Switzerland,579.1562734281
France,Switzerland,317.5603066469
Italy,Switzerland,498.4905363004
Germany,CzechR,336.403327726
Poland,CzechR,338.47352159
Slovakia,CzechR,208.0455737727
Denmark,Germany,421.3629800409
France,Germany,766.4799059127
Luxemb.,Germany,396.4551237479
Netherlands,Germany,318.2634579238
NO2,Germany,570.0
Poland,Germany,450.0924986036
Sweden,Germany,262.0
NO2,Denmark,240.0
Sweden,Denmark,149.0
Finland,Estonia,105.0
Latvia,Estonia,196.7241413089
France,Spain,792.9102474959
Portugal,Spain,339.0097012694
NO4,Finland,757.975011264
Sweden,Finland,233.0
GreatBrit.,France,73.0
Italy,France,716.9202749657
Ireland,GreatBrit.,63.5
Italy,Greece,313.0
Macedonia,Greece,275.7889313797
Hungary,Croatia,243.6757092477
Serbia,Croatia,335.8213865281
Slovenia,Croatia,127.743612979
Romania,Hungary,335.696553594
Serbia,Hungary,370.0625378694
Slovakia,Hungary,152.1983824741
Slovenia,Italy,368.1320598693
Latvia,Lithuania,204.181872913
Serbia,Macedonia,204.0449758994
NO2,Netherlands,580.0
Sweden,NO1,325.6835876584
Sweden,Poland,245.0
Slovakia,Poland,360.4230394075
Serbia,Romania,359.2193609343
GreatBrit.,Belgium,150.0
Netherlands,GreatBrit.,260.0
NO2,GreatBrit.,771.0
NO5,GreatBrit.,665.0
Sweden,Lithuania,450.0
Netherlands,Denmark,300.0
Poland,Lithuania,402.88719079123115
GreatBrit.,Denmark,740.0
Italy,BosniaH,415.0
Italy,Croatia,400.0
Slovakia,Austria,357.66743167118716
Germany,Belgium,467.34821614854997
NO2,Belgium,847.5603817319942
Italy,Germany,918.594825787607
Poland,Denmark,236.85249023743398
Sweden,Estonia,294.90457117798155
Ireland,Spain,500.0
Ireland,France,942.7657944744922
Luxemb.,France,394.32505737533904
Poland,Hungary,481.95284790319215
Slovenia,Hungary,350.5111621114125
Sweden,Latvia,406.79208404593203
NO2,NO1,325.6835876584
NO3,NO1,325.6835876584
NO5,NO1,325.6835876584
NO5,NO2,325.6835876584
NO4,NO3,325.6835876584
NO5,NO3,325.6835876584
Sweden,NO3,325.6835876584
Sweden,NO4,325.6835876584
