FromNode,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
Switzerland,Austria,1,20000
CzechR,Austria,1,20000
Germany,Austria,1,20000
Hungary,Austria,1,20000
Italy,Austria,1,20000
Slovenia,Austria,1,20000
Croatia,BosniaH,1,20000
Serbia,BosniaH,1,20000
France,Belgium,1,20000
Luxemb.,Belgium,1,20000
Netherlands,Belgium,1,20000
Greece,Bulgaria,1,20000
Macedonia,Bulgaria,1,20000
Romania,Bulgaria,1,20000
Serbia,Bulgaria,1,20000
Germany,Switzerland,1,20000
France,Switzerland,1,20000
Italy,Switzerland,1,20000
Germany,CzechR,1,20000
Poland,CzechR,1,20000
Slovakia,CzechR,1,20000
Denmark,Germany,1,20000
France,Germany,1,20000
Luxemb.,Germany,1,20000
Netherlands,Germany,1,20000
NO2,Germany,1,20000
Poland,Germany,1,20000
Sweden,Germany,1,20000
NO2,Denmark,1,20000
Sweden,Denmark,1,20000
Finland,Estonia,1,20000
Latvia,Estonia,1,20000
France,Spain,1,20000
Portugal,Spain,1,20000
NO4,Finland,1,20000
Sweden,Finland,1,20000
GreatBrit.,France,1,20000
Italy,France,1,20000
Ireland,GreatBrit.,1,20000
Italy,Greece,1,20000
Macedonia,Greece,1,20000
Hungary,Croatia,1,20000
Serbia,Croatia,1,20000
Slovenia,Croatia,1,20000
Romania,Hungary,1,20000
Serbia,Hungary,1,20000
Slovakia,Hungary,1,20000
Slovenia,Italy,1,20000
Latvia,Lithuania,1,20000
Serbia,Macedonia,1,20000
NO2,Netherlands,1,20000
Sweden,NO1,1,20000
Sweden,Poland,1,20000
Slovakia,Poland,1,20000
Serbia,Romania,1,20000
GreatBrit.,Belgium,1,20000
Netherlands,GreatBrit.,1,20000
NO2,GreatBrit.,1,20000
Sweden,Lithuania,1,20000
Netherlands,Denmark,1,20000
Poland,Lithuania,1,20000
GreatBrit.,Denmark,1,20000
Italy,BosniaH,1,20000
Italy,Croatia,1,20000
Slovakia,Austria,1,20000
Germany,Belgium,1,20000
NO2,Belgium,1,20000
Italy,Germany,1,20000
Poland,Denmark,1,20000
Sweden,Estonia,1,20000
Ireland,Spain,1,20000
Ireland,France,1,20000
Luxemb.,France,1,20000
Poland,Hungary,1,20000
Slovenia,Hungary,1,20000
Sweden,Latvia,1,20000
NO2,NO1,1,20000
NO3,NO1,1,20000
NO5,NO1,1,20000
NO5,NO2,1,20000
NO4,NO3,1,20000
NO5,NO3,1,20000
Sweden,NO3,1,20000
Sweden,NO4,1,20000
