Type,Period,TypeFixedOMCost_in_euro_per_MW
HVAC_OverheadLine,1,33.08046875
HVAC_OverheadLine,2,33.08046875
HVAC_OverheadLine,3,30.223437500000003
HVAC_OverheadLine,4,30.223437500000003
HVAC_OverheadLine,5,30.223437500000003
HVAC_OverheadLine,6,30.223437500000003
HVAC_OverheadLine,7,30.223437500000003
HVAC_OverheadLine,8,30.223437500000003
HVDC_Cable,1,138.46153846153845
HVDC_Cable,2,138.46153846153845
HVDC_Cable,3,108.0
HVDC_Cable,4,108.0
HVDC_Cable,5,77.53846153846155
HVDC_Cable,6,77.53846153846155
HVDC_Cable,7,77.53846153846155
HVDC_Cable,8,77.53846153846155
