InterconnectorLinks,To_Node,transmissionLifetime
Switzerland,Austria,40
CzechR,Austria,40
Germany,Austria,40
Hungary,Austria,40
Italy,Austria,40
Slovenia,Austria,40
Croatia,BosniaH,40
Serbia,BosniaH,40
France,Belgium,40
Luxemb.,Belgium,40
Netherlands,Belgium,40
Greece,Bulgaria,40
Macedonia,Bulgaria,40
Romania,Bulgaria,40
Serbia,Bulgaria,40
Germany,Switzerland,40
France,Switzerland,40
Italy,Switzerland,40
Germany,CzechR,40
Poland,CzechR,40
Slovakia,CzechR,40
Denmark,Germany,40
France,Germany,40
Luxemb.,Germany,40
Netherlands,Germany,40
NO2,Germany,40
Poland,Germany,40
Sweden,Germany,40
NO2,Denmark,40
Sweden,Denmark,40
Finland,Estonia,40
Latvia,Estonia,40
France,Spain,40
Portugal,Spain,40
NO4,Finland,40
Sweden,Finland,40
GreatBrit.,France,40
Italy,France,40
Ireland,GreatBrit.,40
Italy,Greece,40
Macedonia,Greece,40
Hungary,Croatia,40
Serbia,Croatia,40
Slovenia,Croatia,40
Romania,Hungary,40
Serbia,Hungary,40
Slovakia,Hungary,40
Slovenia,Italy,40
Latvia,Lithuania,40
Serbia,Macedonia,40
NO2,Netherlands,40
Sweden,NO1,40
Sweden,Poland,40
Slovakia,Poland,40
Serbia,Romania,40
GreatBrit.,Belgium,40
Netherlands,GreatBrit.,40
NO2,GreatBrit.,40
NO5,GreatBrit.,40
Sweden,Lithuania,40
Netherlands,Denmark,40
Poland,Lithuania,40
GreatBrit.,Denmark,40
Italy,BosniaH,40
Italy,Croatia,40
Slovakia,Austria,40
Germany,Belgium,40
NO2,Belgium,40
Italy,Germany,40
Poland,Denmark,40
Sweden,Estonia,40
Ireland,Spain,40
Ireland,France,40
Luxemb.,France,40
Poland,Hungary,40
Slovenia,Hungary,40
Sweden,Latvia,40
NO2,NO1,40
NO3,NO1,40
NO5,NO1,40
NO5,NO2,40
NO4,NO3,40
NO5,NO3,40
Sweden,NO3,40
Sweden,NO4,40
