GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW
Lignite,1,32.5
LigniteCCSadv,1,51.37
LigniteCCSsup,1,79.65
Coal,1,25.6
CoalCCSadv,1,46.96
CoalCCS,1,69.8
GasOCGT,1,19.5
GasCCGT,1,15.0
GasCCSadv,1,46.875
GasCCS,1,41.0
Bio10cofiring,1,32.4
Bio10cofiringCCS,1,51.37
Nuclear,1,120.0
Wave,1,39.6
Geo,1,95.0
Hydroregulated,1,25.5
Hydrorun-of-the-river,1,8.9
Bio,1,47.5
Windonshore,1,14.0
Windoffshoregrounded,1,42.0
Solar,1,12.6
Lignite,2,32.5
LigniteCCSadv,2,51.37
LigniteCCSsup,2,79.65
Coal,2,25.6
CoalCCSadv,2,46.96
CoalCCS,2,69.8
GasOCGT,2,19.5
GasCCGT,2,15.0
GasCCSadv,2,46.875
GasCCS,2,41.0
Bio10cofiring,2,32.4
Bio10cofiringCCS,2,51.37
Nuclear,2,120.0
Wave,2,39.6
Geo,2,95.0
Hydroregulated,2,25.5
Hydrorun-of-the-river,2,8.9
Bio,2,47.5
Windonshore,2,14.0
Windoffshoregrounded,2,42.0
Solar,2,12.6
Lignite,3,32.5
LigniteCCSadv,3,51.37
LigniteCCSsup,3,79.65
Coal,3,25.6
CoalCCSadv,3,46.96
CoalCCS,3,65.9
GasOCGT,3,19.5
GasCCGT,3,15.0
GasCCSadv,3,46.875
GasCCS,3,38.2
Bio10cofiring,3,32.4
Bio10cofiringCCS,3,51.37
Nuclear,3,115.0
Wave,3,33.3
Geo,3,95.0
Hydroregulated,3,25.5
Hydrorun-of-the-river,3,8.2
Bio,3,40.1
Windonshore,3,14.0
Windoffshoregrounded,3,31.0
Solar,3,10.8
Lignite,4,32.5
LigniteCCSadv,4,51.37
LigniteCCSsup,4,79.65
Coal,4,25.6
CoalCCSadv,4,46.96
CoalCCS,4,65.9
GasOCGT,4,19.5
GasCCGT,4,15.0
GasCCSadv,4,46.875
GasCCS,4,38.2
Bio10cofiring,4,32.4
Bio10cofiringCCS,4,51.37
Nuclear,4,115.0
Wave,4,33.3
Geo,4,95.0
Hydroregulated,4,25.5
Hydrorun-of-the-river,4,8.2
Bio,4,40.1
Windonshore,4,14.0
Windoffshoregrounded,4,31.0
Solar,4,10.8
Lignite,5,32.5
LigniteCCSadv,5,50.04
LigniteCCSsup,5,79.65
Coal,5,25.6
CoalCCSadv,5,45.85
CoalCCS,5,63.9
GasOCGT,5,19.5
GasCCGT,5,15.0
GasCCSadv,5,46.875
GasCCS,5,35.0
Bio10cofiring,5,32.4
Bio10cofiringCCS,5,50.04
Nuclear,5,108.0
Wave,5,28.0
Geo,5,92.0
Hydroregulated,5,25.5
Hydrorun-of-the-river,5,8.2
Bio,5,39.2
Windonshore,5,13.0
Windoffshoregrounded,5,29.0
Solar,5,10.0
Lignite,6,32.5
LigniteCCSadv,6,48.71
LigniteCCSsup,6,79.65
Coal,6,25.6
CoalCCSadv,6,44.73
CoalCCS,6,63.9
GasOCGT,6,19.5
GasCCGT,6,15.0
GasCCSadv,6,46.875
GasCCS,6,35.0
Bio10cofiring,6,32.4
Bio10cofiringCCS,6,48.71
Nuclear,6,108.0
Wave,6,28.0
Geo,6,92.0
Hydroregulated,6,25.5
Hydrorun-of-the-river,6,8.2
Bio,6,39.2
Windonshore,6,13.0
Windoffshoregrounded,6,29.0
Solar,6,10.0
Lignite,7,32.5
LigniteCCSadv,7,47.39
LigniteCCSsup,7,79.65
Coal,7,25.6
CoalCCSadv,7,43.62
CoalCCS,7,61.9
GasOCGT,7,19.5
GasCCGT,7,15.0
GasCCSadv,7,46.875
GasCCS,7,34.3
Bio10cofiring,7,32.4
Bio10cofiringCCS,7,47.39
Nuclear,7,105.0
Wave,7,23.5
Geo,7,92.0
Hydroregulated,7,25.5
Hydrorun-of-the-river,7,8.1
Bio,7,38.4
Windonshore,7,12.0
Windoffshoregrounded,7,28.0
Solar,7,9.2
Lignite,8,32.5
LigniteCCSadv,8,46.06
LigniteCCSsup,8,79.65
Coal,8,25.6
CoalCCSadv,8,42.5
CoalCCS,8,61.9
GasOCGT,8,19.5
GasCCGT,8,15.0
GasCCSadv,8,46.875
GasCCS,8,34.3
Bio10cofiring,8,32.4
Bio10cofiringCCS,8,46.06
Nuclear,8,105.0
Wave,8,23.5
Geo,8,92.0
Hydroregulated,8,25.5
Hydrorun-of-the-river,8,8.1
Bio,8,38.4
Windonshore,8,12.0
Windoffshoregrounded,8,28.0
Solar,8,9.2
Waste,1,52.3
Waste,2,52.3
Waste,3,44.5
Waste,4,44.5
Waste,5,41.8
Waste,6,41.8
Waste,7,39.2
Waste,8,39.2
Windoffshorefloating,1,64.16666666666666
Windoffshorefloating,2,52.5
Windoffshorefloating,3,38.44
Windoffshorefloating,4,37.88888888888889
Windoffshorefloating,5,34.8
Windoffshorefloating,6,34.34210526315789
Windoffshorefloating,7,33.1578947368421
Windoffshorefloating,8,33.1578947368421
