Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Austria,Coalexisting,150.0
Austria,Gasexisting,4350.0
Austria,Oilexisting,164.0
Austria,Bioexisting,482.0
Austria,Hydroregulated,2475.0
Austria,Hydrorun-of-the-river,5837.0
Austria,Windonshore,3500.0
Austria,Solar,2500.0
Austria,Geo,0.0
Austria,Waste,103.0
BosniaH,Liginiteexisting,1888.0
BosniaH,Hydroregulated,1456.0
BosniaH,Windonshore,135.0
Belgium,Gasexisting,6951.0
Belgium,Oilexisting,280.0
Belgium,Bioexisting,701.0
Belgium,Nuclear,5943.0
Belgium,Hydrorun-of-the-river,177.0
Belgium,Windonshore,2629.0
Belgium,Windoffshoregrounded,0.0
Belgium,Waste,360.0
Belgium,Solar,4788.0
Bulgaria,Liginiteexisting,12357.0
Bulgaria,Coalexisting,1068.0
Bulgaria,Gasexisting,3783.0
Bulgaria,Bioexisting,225.0
Bulgaria,Nuclear,6000.0
Bulgaria,Hydroregulated,5430.0
Bulgaria,Hydrorun-of-the-river,1617.0
Bulgaria,Windonshore,2103.0
Bulgaria,Solar,3519.0
Bulgaria,Waste,18.0
Switzerland,Bioexisting,241.0
Switzerland,Nuclear,2970.0
Switzerland,Hydroregulated,5588.0
Switzerland,Hydrorun-of-the-river,605.0
Switzerland,Windonshore,87.0
Switzerland,Waste,422.0
Switzerland,Solar,2943.0
CzechR,Liginiteexisting,7250.0
CzechR,Coalexisting,1200.0
CzechR,Gasexisting,1620.0
CzechR,Bioexisting,410.0
CzechR,Nuclear,4040.0
CzechR,Hydroregulated,753.0
CzechR,Hydrorun-of-the-river,356.0
CzechR,Waste,100.0
CzechR,Windonshore,339.0
CzechR,Solar,2053.0
Germany,Liginiteexisting,19106.0
Germany,Coalexisting,18830.0
Germany,Gasexisting,30553.0
Germany,Oilexisting,3966.0
Germany,Bioexisting,10222.0
Germany,Nuclear,4056.0
Germany,Geo,58.0
Germany,Hydroregulated,1397.0
Germany,Hydrorun-of-the-river,3718.0
Germany,Windonshore,55630.0
Germany,Waste,1599.0
Germany,Windoffshoregrounded,2260.2599999999998
Germany,Solar,56309.0
Denmark,Coalexisting,3165.0
Denmark,Gasexisting,1621.0
Denmark,Oilexisting,997.0
Denmark,Bioexisting,1870.0
Denmark,Hydrorun-of-the-river,7.0
Denmark,Windonshore,4644.0
Denmark,Waste,384.0
Denmark,Windoffshoregrounded,2305.0
Denmark,Solar,1536.0
Estonia,Gasexisting,119.0
Estonia,Oilexisting,1423.0
Estonia,Waste,17.0
Estonia,Bioexisting,143.0
Estonia,Hydrorun-of-the-river,4.0
Estonia,Windonshore,326.0
Estonia,Solar,370.0
Spain,Liginiteexisting,0.0
Spain,Coalexisting,4642.0
Spain,Gasexisting,29927.0
Spain,Oilexisting,669.0
Spain,Bioexisting,702.0
Spain,Nuclear,7117.0
Spain,Waste,565.0
Spain,Hydroregulated,19187.0
Spain,Hydrorun-of-the-river,1155.0
Spain,Windonshore,27735.0
Spain,Solar,14640.0
Finland,Coalexisting,2798.0
Finland,Gasexisting,1935.0
Finland,Oilexisting,1051.0
Finland,Bioexisting,2357.0
Finland,Waste,114.0
Finland,Nuclear,2794.0
Finland,Hydrorun-of-the-river,3167.0
Finland,Windonshore,3184.0
Finland,Solar,7.0
France,Coalexisting,1817.0
France,Gasexisting,11379.0
France,Oilexisting,2755.0
France,Waste,883.0
France,Bioexisting,2907.0
France,Nuclear,61370.0
France,Wave,243.0
France,Hydrorun-of-the-river,11030.0
France,Windonshore,17178.0
France,Solar,13861.0
GreatBrit.,Coalexisting,1491.0
GreatBrit.,Gasexisting,38985.0
GreatBrit.,Oilexisting,0.0
GreatBrit.,Waste,0.0
GreatBrit.,Bioexisting,4572.0
GreatBrit.,Nuclear,9256.0
GreatBrit.,Hydroregulated,0.0
GreatBrit.,Hydrorun-of-the-river,4190.0
GreatBrit.,Windonshore,13219.0
GreatBrit.,Windoffshoregrounded,0.0
GreatBrit.,Solar,13324.0
Greece,Liginiteexisting,2001.0
Greece,Gasexisting,5213.0
Greece,Bioexisting,106.0
Greece,Hydroregulated,2403.0
Greece,Hydrorun-of-the-river,319.0
Greece,Windonshore,4150.0
Greece,Solar,3820.0
Croatia,Coalexisting,217.0
Croatia,Gasexisting,750.0
Croatia,Waste,6.0
Croatia,Bioexisting,111.0
Croatia,Oilexisting,75.0
Croatia,Hydrorun-of-the-river,428.0
Croatia,Hydroregulated,1446.0
Croatia,Windonshore,925.0
Croatia,Solar,96.0
Hungary,Liginiteexisting,1007.0
Hungary,Gasexisting,4011.0
Hungary,Oilexisting,420.0
Hungary,Bioexisting,213.0
Hungary,Nuclear,1910.0
Hungary,Hydroregulated,28.0
Hungary,Hydrorun-of-the-river,30.0
Hungary,Windonshore,323.0
Hungary,Solar,1839.0
Ireland,Liginiteexisting,228.0
Ireland,Coalexisting,1199.0
Ireland,Gasexisting,4265.0
Ireland,Waste,80.0
Ireland,Oilexisting,1272.0
Ireland,Bioexisting,107.0
Ireland,Hydrorun-of-the-river,216.0
Ireland,Windonshore,4300.0
Ireland,Solar,40.0
Italy,Coalexisting,8417.0
Italy,Gasexisting,41961.0
Italy,Oilexisting,1490.0
Italy,Waste,122.0
Italy,Bioexisting,1548.0
Italy,Geo,869.0
Italy,Hydroregulated,4441.0
Italy,Hydrorun-of-the-river,10507.0
Italy,Windonshore,10658.0
Italy,Solar,5137.0
Lithuania,Liginiteexisting,0.0
Lithuania,Gasexisting,1527.0
Lithuania,Waste,70.0
Lithuania,Bioexisting,95.0
Lithuania,Hydrorun-of-the-river,128.0
Lithuania,Windonshore,671.0
Lithuania,Solar,259.0
Luxemb.,Gasexisting,96.0
Luxemb.,Waste,21.0
Luxemb.,Bioexisting,47.0
Luxemb.,Hydroregulated,11.0
Luxemb.,Windonshore,167.0
Luxemb.,Solar,258.0
Latvia,Gasexisting,1162.0
Latvia,Bioexisting,164.0
Latvia,Hydrorun-of-the-river,1588.0
Latvia,Windonshore,87.0
Latvia,Solar,14.0
Macedonia,Liginiteexisting,824.0
