Nodes,Period,NodeLostLoadCost
Austria,1,22000
BosniaH,1,22000
Belgium,1,22000
Bulgaria,1,22000
Switzerland,1,22000
CzechR,1,22000
Germany,1,22000
Denmark,1,22000
Estonia,1,22000
Spain,1,22000
Finland,1,22000
France,1,22000
GreatBrit.,1,22000
Greece,1,22000
Croatia,1,22000
Hungary,1,22000
Ireland,1,22000
Italy,1,22000
Lithuania,1,22000
Luxemb.,1,22000
Latvia,1,22000
Macedonia,1,22000
Netherlands,1,22000
NO1,1,22000
NO2,1,22000
NO3,1,22000
NO4,1,22000
NO5,1,22000
Poland,1,22000
Portugal,1,22000
Romania,1,22000
Serbia,1,22000
Sweden,1,22000
Slovenia,1,22000
Slovakia,1,22000
