Nodes,Period,ElectricAdjustment_in_MWh_per_hour
Austria,1,72748213.3333333
Belgium,1,88647730.0
BosniaH,1,12453213.3333333
Bulgaria,1,33896736.6666666
Croatia,1,17768643.3333333
CzechR,1,71397293.3333333
Denmark,1,43292113.3333333
Estonia,1,8517103.33333333
Finland,1,96265563.3333333
France,1,466801030.0
Germany,1,553435063.333333
GreatBrit.,1,283784966.666666
Greece,1,53325546.6666666
Hungary,1,47005280.0
Ireland,1,37903653.3333333
Italy,1,324756086.666666
Latvia,1,7399470.0
Lithuania,1,13619476.6666666
Luxemb.,1,7750096.66666666
Macedonia,1,7837096.66666666
Netherlands,1,137148623.333333
NO1,1,32501120.0
NO2,1,44216439.9999999
NO3,1,27854870.0
NO4,1,21139570.0
NO5,1,23008710.0
Poland,1,170376173.333333
Portugal,1,50789860.0
Romania,1,61915040.0
Serbia,1,42256799.9999999
Slovakia,1,29412956.6666666
Slovenia,1,14885713.3333333
Spain,1,256950910.0
Sweden,1,146355063.333333
Switzerland,1,62334236.6666666
Austria,2,104522307.31775
Belgium,2,118754205.421383
BosniaH,2,12790429.1471899
Bulgaria,2,42565842.0146833
Croatia,2,22051677.88685
CzechR,2,81669958.7955633
Denmark,2,54987212.07038
Estonia,2,7215550.90204666
Finland,2,119944967.10651
France,2,589426971.47185
Germany,2,861693729.109233
GreatBrit.,2,464886310.675923
Greece,2,69444392.29619
Hungary,2,63623671.3572399
Ireland,2,44705230.61182
Italy,2,405585449.564026
Latvia,2,10873255.5906733
Lithuania,2,18847425.88387
Luxemb.,2,6165681.64626
Macedonia,2,8958486.17756333
Netherlands,2,211021621.00377
NO1,2,33436760.0
NO2,2,45723400.0
NO3,2,28234489.9999999
NO4,2,23347409.9999999
NO5,2,23747040.0
Poland,2,214413846.663263
Portugal,2,63670667.79103
Romania,2,83227013.0420633
Serbia,2,45462649.99013
Slovakia,2,37895717.5666566
Slovenia,2,18714301.1635166
Spain,2,321901989.857019
Sweden,2,164514697.372323
Switzerland,2,60131546.5106733
Austria,3,123056059.122411
Belgium,3,158882127.522388
BosniaH,3,13225600.80334
Bulgaria,3,49693285.3104916
Croatia,3,25240578.8520083
CzechR,3,103831130.819938
Denmark,3,66764084.2273683
Estonia,3,8028260.91710333
Finland,3,150047867.532376
France,3,653128965.938678
Germany,3,1088569058.76242
GreatBrit.,3,624385758.260873
Greece,3,84448734.6521399
Hungary,3,81543655.3268866
Ireland,3,53336579.6857983
Italy,3,514030207.155206
Latvia,3,13795909.8537716
Lithuania,3,22249006.280275
Luxemb.,3,6667182.54685833
Macedonia,3,9427434.01949333
Netherlands,3,253040368.846971
NO1,3,34832975.0
NO2,3,46563560.0
NO3,3,28686365.0
NO4,3,24172380.0
NO5,3,24245585.0
Poland,3,259054305.089693
Portugal,3,74387794.7968133
Romania,3,108223541.792133
Serbia,3,46036943.0472016
Slovakia,3,46254707.7410116
Slovenia,3,22453339.40165
Spain,3,389872058.87661
Sweden,3,185829918.73288
Switzerland,3,64155836.8693899
Austria,4,143297769.718213
Belgium,4,202718201.076383
BosniaH,4,13660772.45949
Bulgaria,4,57954727.2947099
Croatia,4,29086361.6176066
CzechR,4,128447157.440313
Denmark,4,82636316.6693166
Estonia,4,9759470.41281
Finland,4,185497616.496663
France,4,732439513.724736
Germany,4,1335481005.11265
GreatBrit.,4,791235967.364973
Greece,4,101341030.34333
Hungary,4,100974513.800333
Ireland,4,63258248.8415066
Italy,4,633400404.301726
Latvia,4,17567457.57627
Lithuania,4,26614735.91515
Luxemb.,4,7278683.44745666
Macedonia,4,9896381.86142333
Netherlands,4,298431237.112583
NO1,4,36229189.9999999
NO2,4,47403720.0
NO3,4,29138240.0
NO4,4,24997350.0
NO5,4,24744130.0
Poland,4,307112774.439293
Portugal,4,86165453.9138166
Romania,4,134492619.419643
Serbia,4,46611236.1042733
Slovakia,4,55499826.5055466
Slovenia,4,27010303.2341833
Spain,4,465891290.63126
Sweden,4,212541756.862556
Switzerland,4,68180127.2281066
