AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MK,NL,NO1,NO2,NO3,NO4,NO5,PL,PT,RO,RS,SE,SI,SK,BA,time,hour,dayofweek,month
5963.5,9551.83,4773.0,7631.87,6063.72,41342.6175,3210.98,792.5,24382.0,8892.9,70929.0,27227.33333,5552.73,1948.0,4069.1825,2867.855,23126,1131.55,403.75,678.0,1023.0,9456.0,4659.4,4138.83,2370.48,2090.94,2211.13,14727.41,5340.5,6534.0,5286.0,14726.0,1086.87,2860.0,1338.38,01/01/2015 00:00,0,3,1
5726.0,9152.0225,4585.0,7640.14,5957.57,40135.1425,3100.02,764.7,22734.0,8735.4,69773.0,27426.33333,5226.83,1812.0,3754.9225,2677.97,21534,1125.66,383.25,645.0,925.0,8956.75,4552.1,4038.69,2307.45,2078.44,2128.31,13979.46,5123.9,6467.0,4895.0,14485.0,1045.47,2728.0,1288.46,01/01/2015 01:00,1,3,1
5346.8,8798.7025,4440.0,7391.44,5878.87,39106.015,2980.39,749.8,21286.0,8626.4,66417.0,24717.66667,4987.34,1712.0,3510.39,2432.23,20219,1140.93,370.0,629.0,866.0,8461.5,4469.26,3955.79,2272.86,2037.06,2147.59,13453.78,4771.1,6552.0,4681.0,14298.0,1004.79,2626.0,1265.84,01/01/2015 02:00,2,3,1
5249.0,8567.1,4418.0,7332.57,5827.8,38764.865,2933.49,746.5,20264.0,8674.1,64182.0,23233.0,4879.48,1646.0,3426.685,2275.79,19470,1207.91,363.75,631.0,845.5,8156.0,4442.35,3900.05,2285.79,2012.77,2114.13,13306.0,4443.5,6778.0,4650.0,14249.0,983.79,2618.0,1270.68,01/01/2015 03:00,3,3,1
5308.7,8487.4375,4393.0,7002.08,5730.89,38941.4925,2941.54,754.6,19905.0,8845.3,63859.0,22046.66667,4909.53,1657.0,3437.5075,2173.225,19485,1427.37,353.75,644.0,866.5,8126.0,4487.52,3914.78,2333.07,2036.84,2130.82,13175.58,4234.9,7174.0,4772.0,14268.0,998.67,2626.0,1316.33,01/01/2015 04:00,4,3,1
5574.5,8428.375,4441.0,7043.26,5668.53,39044.91,2999.89,771.2,20010.0,8877.0,63921.0,21386.16667,4950.78,1683.0,3496.5725,2135.705,20349,1641.0,299.5,652.0,937.0,8291.75,4646.16,3971.86,2338.56,2036.36,2137.8,13165.11,4118.2,7954.73,5161.0,14655.0,1045.17,2641.0,1433.35,01/01/2015 05:00,5,3,1
5925.3,8122.4825,4637.0,6836.73,5600.76,40206.1475,3176.8,788.5,20377.0,9043.7,64117.0,21033.83333,5132.31,1665.0,3545.6275,2166.11,20715,1769.0,307.5,655.0,972.0,8638.25,4788.48,4024.11,2353.71,2116.42,2131.8,13029.75,4073.8,8371.0,5641.0,14994.0,1085.06,2622.0,1511.34,01/01/2015 06:00,6,3,1
6343.0,8179.4075,4834.0,6616.56,5651.05,41132.7075,3292.27,790.7,20094.0,8994.2,63861.0,22094.33333,5738.7,1778.0,3670.9425,2214.915,21092,1805.0,302.0,657.0,1040.5,8927.25,4839.8,4096.0,2323.94,2148.27,2159.08,12945.35,3920.8,8725.0,5808.0,15163.0,1142.36,2691.0,1584.59,01/01/2015 07:00,7,3,1
6881.9,8339.655,4983.0,6559.91,6114.63,42963.235,3378.64,827.5,20637.0,9074.1,64277.0,23352.83333,6447.776667,1951.0,3876.935,2237.42,22776,1811.48,299.75,688.0,1072.0,9312.5,4929.96,4182.63,2350.64,2156.6,2232.49,13454.68,3883.8,8685.0,5938.0,15167.0,1206.03,2794.0,1628.36,01/01/2015 08:00,8,3,1
6962.9,8677.44,5020.0,6809.8,6481.25,45088.3475,3562.9,861.8,22250.0,9205.4,65100.0,25428.16667,7041.323333,2113.0,4066.3175,2311.435,24243,1784.23,314.25,719.0,1085.0,9933.25,5049.85,4278.25,2321.85,2138.52,2252.97,14094.53,4234.7,8647.0,5974.0,15670.0,1257.98,2932.0,1612.87,01/01/2015 09:00,9,3,1
7109.9,8898.695,5000.0,6837.15,6608.71,47012.7375,3736.05,880.8,23547.0,9306.8,65875.0,27458.83333,7237.59,2190.0,4221.1325,2585.81,25601,1768.1,345.25,742.0,1092.5,10432.0,5184.69,4298.32,2343.88,2153.64,2282.32,14717.89,4633.4,8553.38,5973.0,16133.0,1293.85,2998.0,1556.4,01/01/2015 10:00,10,3,1
7135.8,9092.48,4891.0,6611.04,6694.39,48159.33,3837.81,892.1,24133.0,9337.8,67460.0,29319.5,6912.52,2168.0,4284.9825,2864.77,25790,1781.86,357.25,741.0,1085.0,11918.89,5246.37,4360.53,2489.54,2230.71,2301.03,15188.36,4989.1,8482.0,5845.0,16178.0,1284.23,2931.0,1716.57,01/01/2015 11:00,11,3,1
7013.2,9087.9025,4760.0,7135.8,6754.3,47164.34,3878.28,898.3,24713.0,9456.0,65706.0,31529.0,6268.75,2056.0,4219.5125,3116.725,24249,1768.86,350.0,750.0,1082.0,11951.2875,5250.22,4461.47,2525.95,2281.01,2307.86,15637.26,5165.2,8420.15,5690.0,16274.0,1275.05,2982.0,1601.79,01/01/2015 12:00,12,3,1
