AT,BG,CZ,DE,ES,FR,GR,NO1,NO2,NO3,NO4,NO5,PL,PT,RO,SE,SK,CH,IT,RS,BA,time,GB,HR,LU,MK
218.3,475,30.34,60.815,1658.0,3732.0,113.0,1199.1,4102.85,815.77,1203.18,3156.33,0.0,704.5,207.0,5064.0,0.0,436.1,185.0,0.0,128.52,01/01/2015 00:00,0.0,60.815,0.0,30.34
180.5,378,30.16,20.3075,1371.0,3046.0,107.0,1179.98,3961.23,767.11,1173.24,3041.29,0.0,473.8,219.0,5115.0,0.0,409.2,153.0,0.0,112.93,01/01/2015 01:00,0.0,20.3075,0.0,30.16
223.2,295,30.05,6.64,779.0,1726.0,133.0,1184.03,3932.98,783.75,1182.46,2813.29,0.0,400.5,215.0,5143.0,0.0,434.6,144.0,0.0,81.04,01/01/2015 02:00,0.0,6.64,0.0,30.05
277.5,290,29.92,1.1275,720.0,810.0,106.0,1177.19,3919.53,795.29,1186.25,2618.42,0.0,167.6,243.0,5526.0,0.0,472.75,168.0,0.0,89.43,01/01/2015 03:00,0.0,1.1275,0.0,29.92
252.7,272,29.92,1.715,743.0,1090.0,146.0,1183.4,3952.48,819.32,1196.24,2632.77,0.0,151.7,376.0,6782.0,0.0,456.65,225.0,0.0,135.1,01/01/2015 04:00,0.0,1.715,0.0,29.92
209.7,341,51.07,6.835,848.0,1269.0,173.0,1124.55,3994.05,937.26,1298.78,2529.88,0.0,124.8,625.0,9420.0,0.0,987.33,509.0,81.0,283.35,01/01/2015 05:00,0.0,6.835,0.0,51.07
233.9,482,118.36,12.9325,1012.0,1086.0,213.0,1088.61,3917.07,983.06,1338.82,2527.94,0.0,248.5,882.0,10665.0,5.63,2180.18,991.0,129.0,536.6,01/01/2015 06:00,0.0,12.9325,0.0,118.36
239.5,657,181.74,7.26,1015.0,916.0,362.0,1138.4,3950.74,982.29,1338.99,2561.7,0.0,419.2,981.0,11324.0,18.775,2413.9,1418.0,214.0,772.29,01/01/2015 07:00,0.0,7.26,0.0,181.74
267.4,723,178.19,12.075,1357.0,803.0,488.0,1155.01,3960.16,959.47,1235.46,2645.16,0.0,383.7,925.0,11372.0,50.615,2599.28,1381.0,292.0,844.06,01/01/2015 08:00,0.0,12.075,0.0,178.19
311.5,645,117.51,6.325,1817.0,819.0,680.0,1157.78,4217.33,935.06,1193.14,2685.0,0.0,259.2,865.0,11280.0,0.0,2425.0,1188.0,305.0,820.71,01/01/2015 09:00,0.0,6.325,0.0,117.51
250.2,585,122.23,21.94,1516.0,1095.0,944.0,1162.39,4364.48,947.12,1212.87,2738.41,0.0,267.4,859.0,11279.0,0.0,2135.43,1000.0,289.0,819.2,01/01/2015 10:00,0.0,21.94,0.0,122.23
317.5,563,115.72,13.005,1204.0,1699.0,721.0,1163.89,4354.48,976.09,1289.61,2727.32,0.0,296.4,954.0,11150.0,0.0,1692.38,636.0,296.0,735.24,01/01/2015 11:00,0.0,13.005,0.0,115.72
251.5,579,114.09,6.76,1286.0,960.0,644.0,1171.66,4302.85,971.31,1327.17,2738.41,0.0,292.8,940.105,11147.0,0.0,1562.88,609.0,250.0,713.5,01/01/2015 12:00,0.0,6.76,0.0,114.09
270.0,794,117.07,36.37,1027.0,610.0,695.0,1206.01,4394.18,1009.13,1461.19,2889.51,0.0,645.4,860.0,11265.0,0.0,1689.23,737.0,244.0,338.65,01/01/2015 13:00,0.0,36.37,0.0,117.07
228.3,948,183.52,44.15,1151.0,598.0,954.0,1233.1,4968.59,1052.39,1549.26,3183.88,0.0,432.5,813.0,11283.0,0.0,1671.98,933.0,245.0,514.87,01/01/2015 14:00,0.0,44.15,0.0,183.52
238.5,1164,300.58,33.08,1156.0,660.0,906.0,1329.72,5524.39,1094.62,1470.7,3734.08,42.85,468.9,973.0,11361.0,0.0,1957.33,1212.0,224.0,567.29,01/01/2015 15:00,42.85,33.08,8.57,300.58
236.8,1194,505.66,58.915,1626.0,3006.0,1501.0,1305.96,5585.95,1098.07,1453.94,3822.75,43.03,786.1,1151.0,11319.0,0.27,2534.45,1393.0,243.0,800.54,01/01/2015 16:00,43.03,58.915,8.606,505.66
443.7,1164,451.53,56.9425,3203.0,5744.0,1453.0,1240.84,5465.14,1086.21,1421.13,3490.62,42.81,1183.8,926.0,11184.0,60.41,2605.25,1468.0,267.0,762.45,01/01/2015 17:00,42.81,56.9425,8.562,451.53
205.2,1131,270.2,67.0575,5333.0,6382.0,1572.0,1230.04,5174.53,1081.31,1420.18,3117.23,28.38,1240.1,822.0,10852.0,109.08,2282.13,1343.0,260.0,585.05,01/01/2015 18:00,28.38,67.0575,5.676,270.2
104.8,996,119.13,76.5775,6183.0,5380.0,1333.0,1224.4,4792.45,1073.71,1460.71,2940.63,0.0,1243.5,713.0,10263.0,109.09,1559.33,891.0,239.0,554.39,01/01/2015 19:00,0.0,76.5775,0.0,119.13
168.8,951,52.64,97.815,6231.0,3513.0,1034.0,1195.99,4274.68,1029.06,1503.34,2807.13,0.0,1239.7,558.0,9453.0,60.67,835.3,563.0,214.0,450.64,01/01/2015 20:00,0.0,97.815,0.0,52.64
234.5,882,43.12,74.77,5359.0,4193.0,631.0,1184.9,4047.73,985.19,1436.53,2732.85,0.0,1244.7,353.0,8533.0,20.38,864.2,492.0,148.0,329.63,01/01/2015 21:00,0.0,74.77,0.0,43.12
177.6,428,36.09,69.3775,3511.0,3041.0,356.0,1176.58,3965.63,930.57,1345.74,2578.54,0.0,880.8,296.0,7432.0,0.28,755.65,364.0,133.0,229.13,01/01/2015 22:00,0.0,69.3775,0.0,36.09
162.2,209,29.87,35.5925,2408.0,1773.0,335.0,1063.42,3870.02,901.41,1137.88,2476.3,0.0,467.9,266.15,6396.0,0.0,568.38,269.0,79.0,175.29,01/01/2015 23:00,0.0,35.5925,0.0,29.87
187.7,171,29.88,47.41,1204.0,1172.0,235.0,1068.78,3781.86,969.1,1150.26,2514.54,0.0,287.4,264.5,5687.0,0.0,476.68,172.0,44.5,126.29,02/01/2015 00:00,0.0,47.41,0.0,29.88
239.4,171,29.73,47.33,743.0,903.0,144.0,1057.11,3635.92,941.59,1138.98,2440.71,0.0,270.5,307.05,5617.0,0.0,411.05,119.0,0.0,105.43,02/01/2015 01:00,0.0,47.33,0.0,29.73
228.9,170,29.62,54.8725,636.0,533.0,98.0,977.22,3273.94,931.89,1111.69,2195.53,0.0,215.9,236.5,5676.0,0.0,404.0,119.0,0.0,89.52,02/01/2015 02:00,0.0,54.8725,0.0,29.62
212.3,195,29.5,48.485,505.0,430.0,78.0,992.52,2925.01,949.77,1096.34,2067.31,0.0,208.5,316.0,6181.0,0.0,453.55,142.0,0.0,88.185,02/01/2015 03:00,0.0,48.485,0.0,29.5
229.0,292,29.4,25.0025,545.0,350.0,139.0,1064.48,3550.4,986.92,1197.05,2435.35,0.0,201.8,452.5,7335.0,0.0,480.0,245.0,0.0,136.115,02/01/2015 04:00,0.0,25.0025,0.0,29.4
198.3,526,48.52,17.5675,908.0,716.0,467.0,1084.28,4233.69,1087.53,1360.38,2624.5,0.0,431.7,679.5,9770.0,0.0,1103.33,435.0,96.0,241.065,02/01/2015 05:00,0.0,17.5675,0.0,48.52
228.3,716,116.24,32.16,1174.0,1452.0,318.0,1194.89,5305.6,1150.81,1552.59,3131.43,0.0,288.1,987.0,10988.0,2.1,2005.18,836.0,165.0,402.42,02/01/2015 06:00,0.0,32.16,0.0,116.24
207.0,833,179.83,38.5625,3229.0,3013.0,361.0,1207.78,5444.07,1267.59,1575.68,3264.45,0.0,397.3,951.3,11454.0,16.73,2022.25,1215.0,234.5,565.225,02/01/2015 07:00,0.0,38.5625,0.0,179.83
250.7,865,182.93,9.82,4574.0,3975.0,429.0,1214.12,5490.9,1326.17,1544.28,3263.63,0.0,871.9,796.0,11491.0,0.0,2241.5,1344.0,229.0,595.39,02/01/2015 08:00,0.0,9.82,0.0,182.93
244.3,903,123.86,9.575,5066.0,4344.0,497.0,1230.13,5507.65,1350.17,1585.82,3306.57,0.0,1043.2,684.0,11531.0,0.07,1896.53,1212.0,230.0,545.985,02/01/2015 09:00,0.0,9.575,0.0,123.86
244.7,904,124.62,24.3675,5357.0,4563.0,292.0,1232.55,5609.28,1310.77,1644.31,3522.74,0.0,1104.3,590.0,11435.0,63.86,1686.0,982.0,229.0,473.145,02/01/2015 10:00,0.0,24.3675,0.0,124.62
232.0,817,126.81,27.215,4416.0,5375.0,268.0,1235.75,5679.07,1280.82,1755.25,3454.33,0.0,1101.9,621.0,11296.0,66.32,1354.08,718.0,168.5,452.96,02/01/2015 11:00,0.0,27.215,0.0,126.81
232.1,775,127.57,26.0925,4475.0,3989.0,178.0,1228.13,5617.37,1240.98,1726.82,3386.51,0.0,965.5,595.0,11257.0,1.06,1188.23,594.0,150.5,497.545,02/01/2015 12:00,0.0,26.0925,0.0,127.57
237.7,875,130.62,26.075,4412.0,3223.0,268.0,1236.28,5640.42,1266.6,1771.4,3367.46,0.0,621.9,626.0,11245.0,0.0,1162.55,677.0,185.0,494.88,02/01/2015 13:00,0.0,26.075,0.0,130.62
247.2,1033,195.07,24.92,3403.0,3120.0,535.0,1291.56,5868.6,1287.05,1770.67,3639.3,0.0,644.9,714.0,11314.0,0.0,1193.18,760.0,173.5,497.76,02/01/2015 14:00,0.0,24.92,0.0,195.07
257.9,1302,312.26,40.0475,3333.0,3249.0,661.0,1333.52,6098.47,1268.59,1738.36,4027.27,42.95,642.2,932.0,11372.0,0.2,1585.2,1069.0,187.0,672.195,02/01/2015 15:00,42.95,40.0475,8.59,312.26
154.7,1416,509.2,44.5475,4684.0,5212.0,1136.0,1337.52,6166.78,1231.07,1718.82,4134.35,42.95,646.6,1119.4,11621.0,51.28,2280.85,1195.0,216.0,762.65,02/01/2015 16:00,42.95,44.5475,8.59,509.2
173.8,1340,461.4,59.3475,6187.0,6932.0,1164.0,1339.13,6067.76,1215.27,1704.69,3941.08,42.8,1178.3,1085.7,11554.0,108.89,2586.08,1225.0,216.5,724.14,02/01/2015 17:00,42.8,59.3475,8.56,461.4
128.1,1209,269.73,66.3525,6895.0,7094.0,938.0,1346.84,5984.17,1209.22,1690.25,3856.02,0.0,1177.4,868.0,11201.0,66.79,1946.98,1082.0,212.5,602.68,02/01/2015 18:00,0.0,66.3525,0.0,269.73
97.9,1056,116.98,58.1,7180.0,5479.0,756.0,1291.14,5591.72,1222.25,1635.96,3273.45,0.0,1178.6,679.0,10233.0,68.01,1111.05,814.0,148.5,529.84,02/01/2015 19:00,0.0,58.1,0.0,116.98
138.6,993,52.01,20.7825,7833.0,3591.0,574.0,1269.65,5086.47,1202.71,1598.95,3006.85,0.0,1168.6,436.0,9342.0,1.21,688.75,532.0,120.0,405.41,02/01/2015 20:00,0.0,20.7825,0.0,52.01
180.4,591,43.08,31.0125,7205.0,3930.0,421.0,1224.04,4749.76,1141.79,1618.17,3371.58,0.0,780.8,370.0,8553.0,0.0,1246.75,438.0,115.5,308.79,02/01/2015 21:00,0.0,31.0125,0.0,43.08
161.1,260,36.04,47.54,5791.0,4450.0,298.0,1177.2,4404.93,1050.45,1518.74,3132.41,0.0,632.0,274.0,7210.0,0.0,746.73,293.0,106.0,254.73,02/01/2015 22:00,0.0,47.54,0.0,36.04
145.1,195,55.45,41.045,4297.0,2422.0,157.0,1016.43,4228.63,1036.2,1463.0,2824.78,0.0,453.8,210.6,5759.0,0.0,557.55,276.0,28.0,157.735,02/01/2015 23:00,0.0,41.045,0.0,55.45
144.7,186,41.76,42.7925,2576.0,1601.0,158.0,1014.34,4075.08,997.7,1440.07,2725.81,0.0,254.6,210.0,5506.0,0.0,658.0,188.0,9.0,108.41,03/01/2015 00:00,0.0,42.7925,0.0,41.76
208.3,186,34.27,78.115,1566.0,1239.0,111.0,1012.08,4057.63,983.59,1408.11,2713.42,0.0,136.5,210.0,5223.0,0.0,484.2,152.0,0.0,104.49,03/01/2015 01:00,0.0,78.115,0.0,34.27
279.7,179,33.91,86.115,971.0,831.0,116.0,1034.83,4096.63,995.04,1428.41,2888.52,0.0,132.7,218.2,5197.0,0.0,473.1,149.0,0.0,89.365,03/01/2015 02:00,0.0,86.115,0.0,33.91
255.8,172,33.76,33.63,746.0,617.0,115.0,1027.37,4087.98,969.92,1387.43,2976.8,0.0,133.4,224.9,5151.0,0.0,449.4,151.0,0.0,74.81,03/01/2015 03:00,0.0,33.63,0.0,33.76
236.2,190,41.43,46.795,672.0,673.0,237.0,1021.78,4075.76,958.51,1337.93,2999.25,0.0,124.4,265.0,5435.0,0.0,491.5,157.0,0.0,75.27,03/01/2015 04:00,0.0,46.795,0.0,41.43
230.8,460,69.24,43.6325,787.0,783.0,255.0,999.88,4144.15,949.09,1333.13,3000.24,0.0,145.7,280.0,6323.0,0.0,515.6,231.0,0.0,195.595,03/01/2015 05:00,0.0,43.6325,0.0,69.24
161.0,684,69.25,44.4575,977.0,882.0,206.0,1150.36,4497.72,981.35,1351.82,3272.85,0.0,300.2,335.0,7536.0,3.88,740.05,485.0,58.5,270.615,03/01/2015 06:00,0.0,44.4575,0.0,69.25
187.3,836,72.96,33.985,1363.0,1145.0,536.0,1233.39,4681.11,1069.59,1419.78,3506.23,0.0,474.5,423.0,8597.0,0.56,788.0,738.0,115.5,370.01,03/01/2015 07:00,0.0,33.985,0.0,72.96
210.6,929,67.43,55.595,2274.0,1505.0,647.0,1241.02,5202.85,1177.82,1543.59,3739.92,0.0,625.5,472.0,9116.0,6.91,873.33,824.0,115.5,439.16,03/01/2015 08:00,0.0,55.595,0.0,67.43
240.5,850,136.29,43.51,2988.0,1674.0,736.0,1271.31,5795.28,1273.39,1585.21,3952.41,0.0,1036.3,396.0,9371.0,21.36,980.43,652.0,116.0,412.155,03/01/2015 09:00,0.0,43.51,0.0,136.29
534.2,812,136.78,26.03,3296.0,2233.0,764.0,1292.19,5892.29,1286.07,1620.22,3977.15,0.0,877.8,382.0,9490.0,22.36,807.68,517.0,117.5,402.085,03/01/2015 10:00,0.0,26.03,0.0,136.78
506.3,708,129.68,27.8875,2406.0,2361.0,695.0,1294.75,5732.88,1323.78,1653.76,3890.68,0.0,876.9,431.0,9567.0,18.02,739.5,412.0,115.5,372.33,03/01/2015 11:00,0.0,27.8875,0.0,129.68
