time,BE,DE,DK,FI,FR,GB,IE,NL,NO,SE,MF,FF,DB,HS,OD,NF,EA,BS,HK,HB,NS,UN,SN1,SN2
01/01/2015 00:00,0.5116,0.703,0.5928,0.5852,0.5899,0.7529,0.6691,0.5175,0.8284,0.774,0.91862,0.97155,0.96628,0.93758,0.86616,0.86981,0.83877,0.82222,0.80266,0.89444,0.88547,0.80713,0.92647,0.91998
01/01/2015 01:00,0.5036,0.6875,0.5769,0.5895,0.5705,0.7395,0.7031,0.519,0.8531,0.7756,0.91736,0.96699,0.96952,0.94551,0.87631,0.87319,0.83901,0.81267,0.80292,0.88875,0.90264,0.82079,0.94799,0.92222
01/01/2015 02:00,0.5238,0.6535,0.6154,0.5084,0.5279,0.7465,0.7375,0.5396,0.8746,0.7856,0.93329,0.95394,0.96597,0.93747,0.86807,0.88828,0.85387,0.8331,0.82459,0.86615,0.92479,0.84914,0.96927,0.94966
01/01/2015 03:00,0.5404,0.6803,0.6354,0.4204,0.5033,0.7479,0.7178,0.546,0.9074,0.809,0.95544,0.94042,0.95541,0.92666,0.85072,0.8673,0.85469,0.84184,0.83591,0.87388,0.9474,0.90241,0.97084,0.95995
01/01/2015 04:00,0.5181,0.7272,0.6622,0.3652,0.525,0.734,0.7119,0.5385,0.942,0.819,0.96055,0.94325,0.93488,0.93262,0.87742,0.85885,0.84037,0.8208,0.82446,0.90262,0.95673,0.94236,0.967,0.96074
01/01/2015 05:00,0.5215,0.749,0.6972,0.39,0.5091,0.7358,0.8204,0.5752,0.9636,0.8337,0.94037,0.92457,0.9437,0.9312,0.86123,0.89575,0.86917,0.83287,0.84186,0.91757,0.95421,0.94668,0.96154,0.95544
01/01/2015 06:00,0.5659,0.7706,0.7388,0.4042,0.4669,0.765,0.8727,0.6057,0.9361,0.8471,0.88965,0.90723,0.94054,0.90333,0.82846,0.89927,0.89407,0.85585,0.86209,0.927,0.95147,0.91836,0.95399,0.95926
01/01/2015 07:00,0.5989,0.801,0.7936,0.3796,0.4639,0.7949,0.9156,0.6178,0.8809,0.8781,0.7982,0.87141,0.94323,0.9168,0.83844,0.90552,0.90654,0.86224,0.85116,0.93915,0.9527,0.86829,0.93484,0.95018
01/01/2015 08:00,0.6152,0.7828,0.7863,0.3198,0.5913,0.8393,0.9456,0.6291,0.8692,0.9129,0.65644,0.85078,0.95751,0.94182,0.89291,0.92697,0.9222,0.86901,0.85586,0.93085,0.94363,0.85678,0.9145,0.93686
01/01/2015 09:00,0.6092,0.7865,0.7855,0.2912,0.4844,0.8721,0.9678,0.6144,0.8781,0.9272,0.56474,0.85848,0.97119,0.95543,0.91198,0.94412,0.93862,0.86774,0.85751,0.92883,0.93277,0.85601,0.89815,0.93086
01/01/2015 10:00,0.608,0.8097,0.7846,0.2794,0.2256,0.8943,0.9784,0.6506,0.8648,0.937,0.62254,0.9068,0.97631,0.9636,0.93617,0.95542,0.9428,0.88454,0.88664,0.93806,0.94384,0.82935,0.8953,0.94117
01/01/2015 11:00,0.6269,0.831,0.7756,0.277,0.1883,0.9035,0.9793,0.698,0.8172,0.9396,0.62972,0.97457,0.98101,0.97155,0.9421,0.96341,0.94393,0.89533,0.90375,0.94858,0.95698,0.77788,0.90392,0.94705
01/01/2015 12:00,0.6867,0.8244,0.7839,0.2566,0.212,0.9165,0.9794,0.7092,0.7903,0.9591,0.53635,0.96351,0.9828,0.98273,0.95796,0.96879,0.95247,0.91271,0.9114,0.94722,0.95909,0.77911,0.87969,0.94384
01/01/2015 13:00,0.7313,0.8375,0.7978,0.243,0.2701,0.9302,0.9769,0.7335,0.8517,0.9603,0.57625,0.91598,0.98007,0.9802,0.9744,0.97533,0.96379,0.93011,0.92716,0.95147,0.96949,0.81583,0.92099,0.96629
01/01/2015 14:00,0.7573,0.8599,0.7968,0.2382,0.4128,0.9428,0.9694,0.7675,0.8804,0.9446,0.66064,0.92937,0.94816,0.96909,0.98273,0.98119,0.97203,0.94589,0.94441,0.96296,0.9797,0.83586,0.94089,0.97919
01/01/2015 15:00,0.7869,0.8813,0.8016,0.2526,0.5981,0.9477,0.9653,0.8053,0.9227,0.9246,0.78282,0.95824,0.87353,0.94874,0.98192,0.98259,0.97582,0.95996,0.95951,0.97256,0.9827,0.8925,0.98232,0.98279
