Node,Generator
BosniaH,Liginiteexisting
Bulgaria,Liginiteexisting
CzechR,Liginiteexisting
Germany,Liginiteexisting
Estonia,Liginiteexisting
Greece,Liginiteexisting
Hungary,Liginiteexisting
Ireland,Liginiteexisting
Macedonia,Liginiteexisting
Poland,Liginiteexisting
Romania,Liginiteexisting
Serbia,Liginiteexisting
Slovenia,Liginiteexisting
Slovakia,Liginiteexisting
BosniaH,Lignite
Bulgaria,Lignite
CzechR,Lignite
Germany,Lignite
Estonia,Lignite
Greece,Lignite
Hungary,Lignite
Ireland,Lignite
Macedonia,Lignite
Poland,Lignite
Romania,Lignite
Serbia,Lignite
Slovenia,Lignite
Slovakia,Lignite
BosniaH,LigniteCCSadv
Bulgaria,LigniteCCSadv
CzechR,LigniteCCSadv
Germany,LigniteCCSadv
Estonia,LigniteCCSadv
Greece,LigniteCCSadv
Hungary,LigniteCCSadv
Ireland,LigniteCCSadv
Macedonia,LigniteCCSadv
Poland,LigniteCCSadv
Romania,LigniteCCSadv
Serbia,LigniteCCSadv
Slovenia,LigniteCCSadv
Slovakia,LigniteCCSadv
Austria,Coalexisting
BosniaH,Coalexisting
Bulgaria,Coalexisting
CzechR,Coalexisting
Germany,Coalexisting
Denmark,Coalexisting
Spain,Coalexisting
Finland,Coalexisting
France,Coalexisting
GreatBrit.,Coalexisting
Croatia,Coalexisting
Hungary,Coalexisting
Ireland,Coalexisting
Italy,Coalexisting
Latvia,Coalexisting
Netherlands,Coalexisting
Poland,Coalexisting
Portugal,Coalexisting
Romania,Coalexisting
Sweden,Coalexisting
Slovenia,Coalexisting
Slovakia,Coalexisting
Austria,Coal
BosniaH,Coal
Belgium,Coal
Bulgaria,Coal
CzechR,Coal
Germany,Coal
Denmark,Coal
Spain,Coal
Finland,Coal
France,Coal
GreatBrit.,Coal
Croatia,Coal
Hungary,Coal
Ireland,Coal
Italy,Coal
Latvia,Coal
Netherlands,Coal
Poland,Coal
Portugal,Coal
Romania,Coal
Sweden,Coal
Slovenia,Coal
Slovakia,Coal
Austria,CoalCCSadv
BosniaH,CoalCCSadv
Belgium,CoalCCSadv
Bulgaria,CoalCCSadv
CzechR,CoalCCSadv
Germany,CoalCCSadv
Denmark,CoalCCSadv
Spain,CoalCCSadv
Finland,CoalCCSadv
France,CoalCCSadv
GreatBrit.,CoalCCSadv
Croatia,CoalCCSadv
Hungary,CoalCCSadv
Ireland,CoalCCSadv
Italy,CoalCCSadv
Latvia,CoalCCSadv
Netherlands,CoalCCSadv
Poland,CoalCCSadv
Portugal,CoalCCSadv
Romania,CoalCCSadv
Sweden,CoalCCSadv
Slovenia,CoalCCSadv
Slovakia,CoalCCSadv
Austria,Gasexisting
Belgium,Gasexisting
Bulgaria,Gasexisting
CzechR,Gasexisting
Germany,Gasexisting
Denmark,Gasexisting
Estonia,Gasexisting
Spain,Gasexisting
Finland,Gasexisting
France,Gasexisting
GreatBrit.,Gasexisting
