Nodes,StorageTypes,Period,InitialPowerCapacity
Austria,HydroPumpStorage,1,3503.0
BosniaH,HydroPumpStorage,1,440.0
Belgium,HydroPumpStorage,1,1308.0
Bulgaria,HydroPumpStorage,1,864.0
Switzerland,HydroPumpStorage,1,6681.0
CzechR,HydroPumpStorage,1,1172.0
Germany,HydroPumpStorage,1,9280.0
Spain,HydroPumpStorage,1,5693.0
France,HydroPumpStorage,1,5049.0
GreatBrit.,HydroPumpStorage,1,4190.0
Greece,HydroPumpStorage,1,699.0
Croatia,HydroPumpStorage,1,281.0
Hungary,HydroPumpStorage,1,28.0
Ireland,HydroPumpStorage,1,292.0
Italy,HydroPumpStorage,1,7256.0
Lithuania,HydroPumpStorage,1,900.0
Luxemb.,HydroPumpStorage,1,2827.0
NO1,HydroPumpStorage,1,180.44
NO2,HydroPumpStorage,1,458.04
NO3,HydroPumpStorage,1,208.2
NO4,HydroPumpStorage,1,249.84
NO5,HydroPumpStorage,1,291.47999999999996
Poland,HydroPumpStorage,1,1591.0
Portugal,HydroPumpStorage,1,2827.0
Romania,HydroPumpStorage,1,357.0
Serbia,HydroPumpStorage,1,642.0
Sweden,HydroPumpStorage,1,100.0
Slovenia,HydroPumpStorage,1,180.0
Slovakia,HydroPumpStorage,1,1016.0
Austria,HydroPumpStorage,2,3503.0
BosniaH,HydroPumpStorage,2,440.0
Belgium,HydroPumpStorage,2,1308.0
Bulgaria,HydroPumpStorage,2,864.0
Switzerland,HydroPumpStorage,2,6681.0
CzechR,HydroPumpStorage,2,1172.0
Germany,HydroPumpStorage,2,9280.0
Spain,HydroPumpStorage,2,5693.0
France,HydroPumpStorage,2,5049.0
GreatBrit.,HydroPumpStorage,2,4190.0
Greece,HydroPumpStorage,2,699.0
Croatia,HydroPumpStorage,2,281.0
Hungary,HydroPumpStorage,2,28.0
Ireland,HydroPumpStorage,2,292.0
Italy,HydroPumpStorage,2,7256.0
Lithuania,HydroPumpStorage,2,900.0
Luxemb.,HydroPumpStorage,2,2827.0
NO1,HydroPumpStorage,2,180.44
NO2,HydroPumpStorage,2,458.04
NO3,HydroPumpStorage,2,208.2
NO4,HydroPumpStorage,2,249.84
NO5,HydroPumpStorage,2,291.47999999999996
Poland,HydroPumpStorage,2,1591.0
Portugal,HydroPumpStorage,2,2827.0
Romania,HydroPumpStorage,2,357.0
Serbia,HydroPumpStorage,2,642.0
Sweden,HydroPumpStorage,2,100.0
Slovakia,HydroPumpStorage,2,1016.0
Austria,HydroPumpStorage,3,3503.0
BosniaH,HydroPumpStorage,3,440.0
Belgium,HydroPumpStorage,3,1308.0
Bulgaria,HydroPumpStorage,3,864.0
Switzerland,HydroPumpStorage,3,6681.0
CzechR,HydroPumpStorage,3,1172.0
Germany,HydroPumpStorage,3,9280.0
Spain,HydroPumpStorage,3,5693.0
France,HydroPumpStorage,3,5049.0
GreatBrit.,HydroPumpStorage,3,4190.0
Greece,HydroPumpStorage,3,699.0
Croatia,HydroPumpStorage,3,281.0
Hungary,HydroPumpStorage,3,28.0
Ireland,HydroPumpStorage,3,292.0
Italy,HydroPumpStorage,3,7256.0
Lithuania,HydroPumpStorage,3,900.0
Luxemb.,HydroPumpStorage,3,2827.0
NO1,HydroPumpStorage,3,180.44
NO2,HydroPumpStorage,3,458.04
NO3,HydroPumpStorage,3,208.2
NO4,HydroPumpStorage,3,249.84
NO5,HydroPumpStorage,3,291.47999999999996
Poland,HydroPumpStorage,3,1591.0
Portugal,HydroPumpStorage,3,2827.0
Romania,HydroPumpStorage,3,357.0
Serbia,HydroPumpStorage,3,642.0
Sweden,HydroPumpStorage,3,100.0
Slovakia,HydroPumpStorage,3,1016.0
Austria,HydroPumpStorage,4,3503.0
BosniaH,HydroPumpStorage,4,440.0
Belgium,HydroPumpStorage,4,1308.0
Bulgaria,HydroPumpStorage,4,864.0
Switzerland,HydroPumpStorage,4,6681.0
CzechR,HydroPumpStorage,4,1172.0
Germany,HydroPumpStorage,4,9280.0
Spain,HydroPumpStorage,4,5693.0
France,HydroPumpStorage,4,5049.0
GreatBrit.,HydroPumpStorage,4,4190.0
Greece,HydroPumpStorage,4,699.0
Croatia,HydroPumpStorage,4,281.0
Hungary,HydroPumpStorage,4,28.0
Ireland,HydroPumpStorage,4,292.0
Italy,HydroPumpStorage,4,7256.0
Lithuania,HydroPumpStorage,4,900.0
Luxemb.,HydroPumpStorage,4,2827.0
NO1,HydroPumpStorage,4,180.44
NO2,HydroPumpStorage,4,458.04
NO3,HydroPumpStorage,4,208.2
NO4,HydroPumpStorage,4,249.84
NO5,HydroPumpStorage,4,291.47999999999996
Poland,HydroPumpStorage,4,1591.0
Portugal,HydroPumpStorage,4,2827.0
Romania,HydroPumpStorage,4,357.0
Serbia,HydroPumpStorage,4,642.0
Sweden,HydroPumpStorage,4,100.0
Slovakia,HydroPumpStorage,4,1016.0
Austria,HydroPumpStorage,5,3503.0
BosniaH,HydroPumpStorage,5,440.0
Belgium,HydroPumpStorage,5,1308.0
Bulgaria,HydroPumpStorage,5,864.0
Switzerland,HydroPumpStorage,5,6681.0
CzechR,HydroPumpStorage,5,1172.0
Germany,HydroPumpStorage,5,9280.0
Spain,HydroPumpStorage,5,5693.0
France,HydroPumpStorage,5,5049.0
GreatBrit.,HydroPumpStorage,5,4190.0
Greece,HydroPumpStorage,5,699.0
Croatia,HydroPumpStorage,5,281.0
Hungary,HydroPumpStorage,5,28.0
Ireland,HydroPumpStorage,5,292.0
Italy,HydroPumpStorage,5,7256.0
Lithuania,HydroPumpStorage,5,900.0
Luxemb.,HydroPumpStorage,5,2827.0
NO1,HydroPumpStorage,5,180.44
NO2,HydroPumpStorage,5,458.04
NO3,HydroPumpStorage,5,208.2
NO4,HydroPumpStorage,5,249.84
NO5,HydroPumpStorage,5,291.47999999999996
Poland,HydroPumpStorage,5,1591.0
Portugal,HydroPumpStorage,5,2827.0
Romania,HydroPumpStorage,5,357.0
Serbia,HydroPumpStorage,5,642.0
Sweden,HydroPumpStorage,5,100.0
Slovakia,HydroPumpStorage,5,1016.0
Austria,HydroPumpStorage,6,3503.0
BosniaH,HydroPumpStorage,6,440.0
Belgium,HydroPumpStorage,6,1308.0
Bulgaria,HydroPumpStorage,6,864.0
Switzerland,HydroPumpStorage,6,6681.0
CzechR,HydroPumpStorage,6,1172.0
Germany,HydroPumpStorage,6,9280.0
Spain,HydroPumpStorage,6,5693.0
France,HydroPumpStorage,6,5049.0
GreatBrit.,HydroPumpStorage,6,4190.0
Greece,HydroPumpStorage,6,699.0
Croatia,HydroPumpStorage,6,281.0
Hungary,HydroPumpStorage,6,28.0
Ireland,HydroPumpStorage,6,292.0
Italy,HydroPumpStorage,6,7256.0
Lithuania,HydroPumpStorage,6,900.0
Luxemb.,HydroPumpStorage,6,2827.0
NO1,HydroPumpStorage,6,180.44
NO2,HydroPumpStorage,6,458.04
NO3,HydroPumpStorage,6,208.2
NO4,HydroPumpStorage,6,249.84
NO5,HydroPumpStorage,6,291.47999999999996
Poland,HydroPumpStorage,6,1591.0
Portugal,HydroPumpStorage,6,2827.0
Romania,HydroPumpStorage,6,357.0
Serbia,HydroPumpStorage,6,642.0
Sweden,HydroPumpStorage,6,100.0
Slovakia,HydroPumpStorage,6,1016.0
Austria,HydroPumpStorage,7,3503.0
BosniaH,HydroPumpStorage,7,440.0
Belgium,HydroPumpStorage,7,1308.0
Bulgaria,HydroPumpStorage,7,864.0
Switzerland,HydroPumpStorage,7,6681.0
CzechR,HydroPumpStorage,7,1172.0
Germany,HydroPumpStorage,7,9280.0
Spain,HydroPumpStorage,7,5693.0
France,HydroPumpStorage,7,5049.0
GreatBrit.,HydroPumpStorage,7,4190.0
Greece,HydroPumpStorage,7,699.0
Croatia,HydroPumpStorage,7,281.0
Hungary,HydroPumpStorage,7,28.0
Ireland,HydroPumpStorage,7,292.0
Italy,HydroPumpStorage,7,7256.0
Lithuania,HydroPumpStorage,7,900.0
Luxemb.,HydroPumpStorage,7,2827.0
NO1,HydroPumpStorage,7,180.44
NO2,HydroPumpStorage,7,458.04
NO3,HydroPumpStorage,7,208.2
NO4,HydroPumpStorage,7,249.84
NO5,HydroPumpStorage,7,291.47999999999996
Poland,HydroPumpStorage,7,1591.0
Portugal,HydroPumpStorage,7,2827.0
Romania,HydroPumpStorage,7,357.0
Serbia,HydroPumpStorage,7,642.0
Sweden,HydroPumpStorage,7,100.0
Slovakia,HydroPumpStorage,7,1016.0
Austria,HydroPumpStorage,8,3503.0
BosniaH,HydroPumpStorage,8,440.0
Belgium,HydroPumpStorage,8,1308.0
Bulgaria,HydroPumpStorage,8,864.0
Switzerland,HydroPumpStorage,8,6681.0
CzechR,HydroPumpStorage,8,1172.0
Germany,HydroPumpStorage,8,9280.0
Spain,HydroPumpStorage,8,5693.0
France,HydroPumpStorage,8,5049.0
GreatBrit.,HydroPumpStorage,8,4190.0
Greece,HydroPumpStorage,8,699.0
Croatia,HydroPumpStorage,8,281.0
Hungary,HydroPumpStorage,8,28.0
Ireland,HydroPumpStorage,8,292.0
Italy,HydroPumpStorage,8,7256.0
Lithuania,HydroPumpStorage,8,900.0
Luxemb.,HydroPumpStorage,8,2827.0
NO1,HydroPumpStorage,8,180.44
NO2,HydroPumpStorage,8,458.04
NO3,HydroPumpStorage,8,208.2
NO4,HydroPumpStorage,8,249.84
NO5,HydroPumpStorage,8,291.47999999999996
