Nodes,StorageTypes,PowerMaxInstalledCapacity
Austria,HydroPumpStorage,5254.5
BosniaH,HydroPumpStorage,660.0
Belgium,HydroPumpStorage,1962.0
Bulgaria,HydroPumpStorage,1296.0
Switzerland,HydroPumpStorage,10021.5
CzechR,HydroPumpStorage,1758.0
Germany,HydroPumpStorage,13920.0
Spain,HydroPumpStorage,8539.5
France,HydroPumpStorage,7573.5
GreatBrit.,HydroPumpStorage,6285.0
Greece,HydroPumpStorage,1048.5
Croatia,HydroPumpStorage,421.5
Hungary,HydroPumpStorage,42.0
Ireland,HydroPumpStorage,438.0
Italy,HydroPumpStorage,10884.0
Lithuania,HydroPumpStorage,1350.0
Luxemb.,HydroPumpStorage,4240.5
NO1,HydroPumpStorage,270.65999999999997
NO2,HydroPumpStorage,687.0600000000001
NO3,HydroPumpStorage,312.29999999999995
NO4,HydroPumpStorage,374.76
NO5,HydroPumpStorage,437.2199999999999
Poland,HydroPumpStorage,2386.5
Portugal,HydroPumpStorage,4240.5
Romania,HydroPumpStorage,535.5
Serbia,HydroPumpStorage,963.0
Sweden,HydroPumpStorage,150.0
Slovenia,HydroPumpStorage,270.0
Slovakia,HydroPumpStorage,1524.0
Austria,Li-Ion_BESS,20000000.0
BosniaH,Li-Ion_BESS,20000000.0
Belgium,Li-Ion_BESS,20000000.0
Bulgaria,Li-Ion_BESS,20000000.0
Switzerland,Li-Ion_BESS,20000000.0
CzechR,Li-Ion_BESS,20000000.0
Germany,Li-Ion_BESS,20000000.0
Denmark,Li-Ion_BESS,20000000.0
Estonia,Li-Ion_BESS,20000000.0
Spain,Li-Ion_BESS,20000000.0
Finland,Li-Ion_BESS,20000000.0
France,Li-Ion_BESS,20000000.0
GreatBrit.,Li-Ion_BESS,20000000.0
Greece,Li-Ion_BESS,20000000.0
Croatia,Li-Ion_BESS,20000000.0
Hungary,Li-Ion_BESS,20000000.0
Ireland,Li-Ion_BESS,20000000.0
Italy,Li-Ion_BESS,20000000.0
Lithuania,Li-Ion_BESS,20000000.0
Luxemb.,Li-Ion_BESS,20000000.0
Latvia,Li-Ion_BESS,20000000.0
Macedonia,Li-Ion_BESS,20000000.0
Netherlands,Li-Ion_BESS,20000000.0
NO1,Li-Ion_BESS,20000000.0
NO2,Li-Ion_BESS,20000000.0
NO3,Li-Ion_BESS,20000000.0
NO4,Li-Ion_BESS,20000000.0
NO5,Li-Ion_BESS,20000000.0
Poland,Li-Ion_BESS,20000000.0
Portugal,Li-Ion_BESS,20000000.0
Romania,Li-Ion_BESS,20000000.0
Serbia,Li-Ion_BESS,20000000.0
Sweden,Li-Ion_BESS,20000000.0
Slovenia,Li-Ion_BESS,20000000.0
Slovakia,Li-Ion_BESS,20000000.0
