FromNode,ToNode,Length_in_km
CzechR,Austria,251
Germany,Austria,525
Hungary,Austria,213
Italy,Austria,765
Slovakia,Austria,55
Slovenia,Austria,278
Switzerland,Austria,685
Borssele,Belgium,67
France,Belgium,265
Germany,Belgium,651
GreatBrit.,Belgium,90
HollandseeKust,Belgium,72
Luxemb.,Belgium,186
Netherlands,Belgium,175
HelgolanderBucht,Borssele,390
HollandseeKust,Borssele,78
Nordsoen,Borssele,542
SorligeNordsjoI,Borssele,610
SorligeNordsjoII,Borssele,544
UtsiraNord,Borssele,820
Croatia,BosniaH,292
Italy,BosniaH,170
Serbia,BosniaH,193
Greece,Bulgaria,525
Macedonia,Bulgaria,173
Romania,Bulgaria,295
Serbia,Bulgaria,328
Hungary,Croatia,299
Italy,Croatia,130
Serbia,Croatia,368
Slovenia,Croatia,117
Germany,CzechR,280
Poland,CzechR,517
Slovakia,CzechR,288
GreatBrit.,Denmark,570
Netherlands,Denmark,230
NO2,Denmark,120
Nordsoen,Denmark,83
Poland,Denmark,230
Sweden,Denmark,90
Borssele,DoggerBank,326
EastAnglia,DoggerBank,331
HelgolanderBucht,DoggerBank,319
HollandseeKust,DoggerBank,285
Hornsea,DoggerBank,118
Nordsoen,DoggerBank,337
Norfolk,DoggerBank,230
OuterDowsing,DoggerBank,194
SorligeNordsjoI,DoggerBank,302
SorligeNordsjoII,DoggerBank,270
UtsiraNord,DoggerBank,515
Borssele,EastAnglia,88
HelgolanderBucht,EastAnglia,446
HollandseeKust,EastAnglia,158
Nordsoen,EastAnglia,593
SorligeNordsjoI,EastAnglia,629
SorligeNordsjoII,EastAnglia,576
UtsiraNord,EastAnglia,840
Finland,Estonia,60
Latvia,Estonia,280
Sweden,Estonia,310
NO4,Finland,1091
Sweden,Finland,200
Borssele,FirthofForth,600
DoggerBank,FirthofForth,326
EastAnglia,FirthofForth,583
HelgolanderBucht,FirthofForth,624
HollandseeKust,FirthofForth,583
Hornsea,FirthofForth,375
Nordsoen,FirthofForth,561
Norfolk,FirthofForth,484
OuterDowsing,FirthofForth,391
SorligeNordsjoI,FirthofForth,363
SorligeNordsjoII,FirthofForth,432
UtsiraNord,FirthofForth,507
GreatBrit.,France,38
Ireland,France,470
Italy,France,1107
Luxemb.,France,288
Denmark,Germany,357
France,Germany,878
HelgolanderBucht,Germany,90
Luxemb.,Germany,602
Netherlands,Germany,577
NO2,Germany,480
Poland,Germany,518
Sweden,Germany,120
DoggerBank,GreatBrit.,195
EastAnglia,GreatBrit.,46
FirthofForth,GreatBrit.,59
Hornsea,GreatBrit.,134
Ireland,GreatBrit.,107
MorayFirth,GreatBrit.,69
Netherlands,GreatBrit.,160
NO2,GreatBrit.,460
NO5,GreatBrit.,500
Norfolk,GreatBrit.,47
OuterDowsing,GreatBrit.,55
Italy,Greece,170
Macedonia,Greece,487
Nordsoen,HelgolanderBucht,217
SorligeNordsjoI,HelgolanderBucht,411
SorligeNordsjoII,HelgolanderBucht,303
UtsiraNord,HelgolanderBucht,573
HelgolanderBucht,HollandseeKust,294
Nordsoen,HollandseeKust,467
SorligeNordsjoI,HollandseeKust,556
SorligeNordsjoII,HollandseeKust,481
UtsiraNord,HollandseeKust,759
Borssele,Hornsea,229
EastAnglia,Hornsea,213
HelgolanderBucht,Hornsea,353
HollandseeKust,Hornsea,210
Nordsoen,Hornsea,432
Norfolk,Hornsea,124
OuterDowsing,Hornsea,82
SorligeNordsjoI,Hornsea,420
SorligeNordsjoII,Hornsea,379
UtsiraNord,Hornsea,630
Romania,Hungary,645
Serbia,Hungary,449
Slovakia,Hungary,162
Slovenia,Hungary,381
Slovenia,Italy,490
Sweden,Latvia,300
Latvia,Lithuania,262
Poland,Lithuania,393
Sweden,Lithuania,330
Serbia,Macedonia,323
Borssele,MorayFirth,805
DoggerBank,MorayFirth,497
EastAnglia,MorayFirth,784
FirthofForth,MorayFirth,270
HelgolanderBucht,MorayFirth,760
HollandseeKust,MorayFirth,777
Hornsea,MorayFirth,585
Nordsoen,MorayFirth,636
Norfolk,MorayFirth,700
OuterDowsing,MorayFirth,605
SorligeNordsjoI,MorayFirth,400
SorligeNordsjoII,MorayFirth,500
UtsiraNord,MorayFirth,452
Borssele,Netherlands,80
HelgolanderBucht,Netherlands,127
HollandseeKust,Netherlands,51
NO2,Netherlands,520
NO2,NO1,295
NO3,NO1,392
NO5,NO1,305
Sweden,NO1,416
NO5,NO2,245
SorligeNordsjoI,NO2,180
SorligeNordsjoII,NO2,194
UtsiraNord,NO2,45
NO4,NO3,788
NO5,NO3,430
Sweden,NO3,613
Sweden,NO4,1149
SorligeNordsjoI,Nordsoen,243
SorligeNordsjoII,Nordsoen,136
UtsiraNord,Nordsoen,364
Borssele,Norfolk,116
EastAnglia,Norfolk,100
HelgolanderBucht,Norfolk,372
HollandseeKust,Norfolk,129
Nordsoen,Norfolk,500
SorligeNordsjoI,Norfolk,528
SorligeNordsjoII,Norfolk,475
UtsiraNord,Norfolk,738
Borssele,OuterDowsing,215
EastAnglia,OuterDowsing,182
