InterconnectorLinks,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
CzechR,Austria,1,20000
Germany,Austria,1,20000
Hungary,Austria,1,20000
Italy,Austria,1,20000
Slovakia,Austria,1,20000
Slovenia,Austria,1,20000
Switzerland,Austria,1,20000
Borssele,Belgium,1,20000
France,Belgium,1,20000
Germany,Belgium,1,20000
GreatBrit.,Belgium,1,20000
HollandseeKust,Belgium,1,20000
Luxemb.,Belgium,1,20000
Netherlands,Belgium,1,20000
HelgolanderBucht,Borssele,1,20000
HollandseeKust,Borssele,1,20000
Nordsoen,Borssele,1,20000
SorligeNordsjoI,Borssele,1,20000
SorligeNordsjoII,Borssele,1,20000
UtsiraNord,Borssele,1,20000
Croatia,BosniaH,1,20000
Italy,BosniaH,1,20000
Serbia,BosniaH,1,20000
Greece,Bulgaria,1,20000
Macedonia,Bulgaria,1,20000
Romania,Bulgaria,1,20000
Serbia,Bulgaria,1,20000
Hungary,Croatia,1,20000
Italy,Croatia,1,20000
Serbia,Croatia,1,20000
Slovenia,Croatia,1,20000
Germany,CzechR,1,20000
Poland,CzechR,1,20000
Slovakia,CzechR,1,20000
GreatBrit.,Denmark,1,20000
Netherlands,Denmark,1,20000
NO2,Denmark,1,20000
Nordsoen,Denmark,1,20000
Poland,Denmark,1,20000
Sweden,Denmark,1,20000
Borssele,DoggerBank,1,20000
EastAnglia,DoggerBank,1,20000
HelgolanderBucht,DoggerBank,1,20000
HollandseeKust,DoggerBank,1,20000
Hornsea,DoggerBank,1,20000
Nordsoen,DoggerBank,1,20000
Norfolk,DoggerBank,1,20000
OuterDowsing,DoggerBank,1,20000
SorligeNordsjoI,DoggerBank,1,20000
SorligeNordsjoII,DoggerBank,1,20000
UtsiraNord,DoggerBank,1,20000
Borssele,EastAnglia,1,20000
HelgolanderBucht,EastAnglia,1,20000
HollandseeKust,EastAnglia,1,20000
Nordsoen,EastAnglia,1,20000
SorligeNordsjoI,EastAnglia,1,20000
SorligeNordsjoII,EastAnglia,1,20000
UtsiraNord,EastAnglia,1,20000
Finland,Estonia,1,20000
Latvia,Estonia,1,20000
Sweden,Estonia,1,20000
NO4,Finland,1,20000
Sweden,Finland,1,20000
Borssele,FirthofForth,1,20000
DoggerBank,FirthofForth,1,20000
EastAnglia,FirthofForth,1,20000
HelgolanderBucht,FirthofForth,1,20000
HollandseeKust,FirthofForth,1,20000
Hornsea,FirthofForth,1,20000
Nordsoen,FirthofForth,1,20000
Norfolk,FirthofForth,1,20000
OuterDowsing,FirthofForth,1,20000
SorligeNordsjoI,FirthofForth,1,20000
SorligeNordsjoII,FirthofForth,1,20000
UtsiraNord,FirthofForth,1,20000
GreatBrit.,France,1,20000
Ireland,France,1,20000
Italy,France,1,20000
Luxemb.,France,1,20000
Denmark,Germany,1,20000
France,Germany,1,20000
HelgolanderBucht,Germany,1,20000
Luxemb.,Germany,1,20000
Netherlands,Germany,1,20000
NO2,Germany,1,20000
Poland,Germany,1,20000
Sweden,Germany,1,20000
DoggerBank,GreatBrit.,1,20000
EastAnglia,GreatBrit.,1,20000
FirthofForth,GreatBrit.,1,20000
Hornsea,GreatBrit.,1,20000
Ireland,GreatBrit.,1,20000
MorayFirth,GreatBrit.,1,20000
Netherlands,GreatBrit.,1,20000
NO2,GreatBrit.,1,20000
NO5,GreatBrit.,1,20000
Norfolk,GreatBrit.,1,20000
OuterDowsing,GreatBrit.,1,20000
Italy,Greece,1,20000
Macedonia,Greece,1,20000
Nordsoen,HelgolanderBucht,1,20000
SorligeNordsjoI,HelgolanderBucht,1,20000
SorligeNordsjoII,HelgolanderBucht,1,20000
UtsiraNord,HelgolanderBucht,1,20000
HelgolanderBucht,HollandseeKust,1,20000
Nordsoen,HollandseeKust,1,20000
SorligeNordsjoI,HollandseeKust,1,20000
SorligeNordsjoII,HollandseeKust,1,20000
UtsiraNord,HollandseeKust,1,20000
Borssele,Hornsea,1,20000
EastAnglia,Hornsea,1,20000
HelgolanderBucht,Hornsea,1,20000
HollandseeKust,Hornsea,1,20000
Nordsoen,Hornsea,1,20000
