Type,Period,TypeCapitalCost_in_euro_per_MWkm
HVAC_OverheadLine,1,661.609375
HVAC_OverheadLine,2,661.609375
HVAC_OverheadLine,3,604.46875
HVAC_OverheadLine,4,604.46875
HVAC_OverheadLine,5,604.46875
HVAC_OverheadLine,6,604.46875
HVAC_OverheadLine,7,604.46875
HVAC_OverheadLine,8,604.46875
HVDC_Cable,1,2769.230769230769
HVDC_Cable,2,2769.230769230769
HVDC_Cable,3,2160.0
HVDC_Cable,4,2160.0
HVDC_Cable,5,1550.7692307692307
HVDC_Cable,6,1550.7692307692307
HVDC_Cable,7,1550.7692307692307
HVDC_Cable,8,1550.7692307692307
