Nodes.1,Period.1,EU_reference_scenario_2016,GENeSYS-MOD_Gradual_Development,EU_reference_scenario_2020,TYNDP22
Austria,1,69208495.58768041,66805237.5117983,61048018.4344295,72748213.3333333
Belgium,1,87183947.751946,79644130.4653141,84700022.8251937,88647730.0
BosniaH,1,12747852.69121813,14730963.3578251,12273598.8113286,12453213.3333333
Bulgaria,1,30091636.773569833,45069209.8988468,30381216.4768986,33896736.6666666
Croatia,1,16596829.207711726,12995652.796921,16471645.245532,17768643.3333333
CzechR,1,63202871.91379661,84733224.1071651,56973521.1884731,71397293.3333333
Denmark,1,34711942.50134293,30990986.6606142,38596269.2795114,43292113.3333333
Estonia,1,7952492.033148475,11941043.7799848,8172263.69582172,8517103.33333333
Finland,1,81619243.25802527,72669006.9723463,82752928.8693508,96265563.3333333
France,1,471216108.68781394,547006508.847186,394899574.630751,466801030.0
Germany,1,545224314.0131292,633397805.490534,494042736.108412,553435063.333333
GreatBrit.,1,343567422.1703151,378339817.226721,341195352.527832,283784966.666666
Greece,1,55030848.01953944,50609980.2455486,52784191.5076014,53325546.6666666
Hungary,1,37759260.52594516,32569953.2600481,40180244.8168789,47005280.0
Ireland,1,26403956.60291737,29346044.2523963,33030237.3478866,37903653.3333333
Italy,1,312034910.2011373,299188833.994695,277963999.17578,324756086.666666
Latvia,1,7352029.870388653,7354733.13026926,7016440.40256146,7399470.0
Lithuania,1,11005876.477772767,5097425.5960823,10169550.7490631,13619476.6666666
Luxemb.,1,6965864.496581133,3706197.85687485,6261618.36835096,7750096.66666666
Macedonia,1,9411301.699716713,7365481.67891255,6638290.17428221,7837096.66666666
Netherlands,1,115528143.27247278,114113397.180751,122138564.963402,137148623.333333
NO1,1,37530000.0,43855046.6574426,32501120.0,32501120.0
NO2,1,37530000.0,43855046.6574426,44216439.9999999,44216439.9999999
NO3,1,27800000.0,32485219.7462538,27854870.0,27854870.0
NO4,1,19460000.0,22739653.8223776,21139570.0,21139570.0
NO5,1,16680000.0,19491131.8477523,23008710.0,23008710.0
Poland,1,152022405.91455352,180047752.049539,149035143.3131,170376173.333333
Portugal,1,47741130.22370876,60192789.632544,47337883.5211862,50789860.0
Romania,1,51780757.83370384,70561726.9557692,54204977.9439468,61915040.0
Serbia,1,41846396.60056657,36827408.3945627,30823587.2422668,42256799.9999999
Slovakia,1,28622933.759214714,27018861.6944786,26675939.2915884,29412956.6666666
Slovenia,1,13553099.789310794,16262049.5516239,14642829.9580308,14885713.3333333
Spain,1,251274180.6969777,280331420.722781,233299277.245619,256950910.0
Sweden,1,137851471.99100554,164513017.155182,119562757.096755,146355063.333333
Switzerland,1,65368927.53283874,66665124.7804001,62500000.0,62334236.6666666
Austria,2,72012406.12842907,75891445.0641971,63395221.4883652,104522307.31775
Belgium,2,88812131.18713899,79797732.2541786,95372716.8090189,118754205.421383
BosniaH,2,12467025.495750709,16428838.2478034,12619576.8697758,12790429.1471899
Bulgaria,2,30823842.04856563,48011331.7512058,31445891.6905818,42565842.0146833
Croatia,2,16591527.019959852,15496882.3792181,16935961.207711,22051677.88685
CzechR,2,65857700.24242049,91530371.9423609,61052970.0577188,81669958.7955633
Denmark,2,36138861.79626279,34610264.6213278,45832118.0321623,54987212.07038
Estonia,2,8259316.198084223,12587045.6314776,8991046.9322231,7215550.90204666
Finland,2,84989994.21104287,73409247.8160274,90655323.6572101,119944967.10651
France,2,475874034.02486426,580506537.361682,395476083.021445,589426971.47185
Germany,2,577931296.5049382,663741578.04654,531778383.543537,861693729.109233
GreatBrit.,2,348197908.2211853,376092797.620193,356169761.809714,464886310.675923
Greece,2,53085592.89126595,57892327.3398034,55559655.2299975,69444392.29619
Hungary,2,40429082.48067897,37395893.2891059,45313758.1062482,63623671.3572399
Ireland,2,27130808.18490499,34370720.0659464,41813074.0347926,44705230.61182
Italy,2,311863890.2938935,334417267.206897,302820513.229346,405585449.564026
Latvia,2,7977700.684980584,8417835.76680044,7522302.46856129,10873255.5906733
Lithuania,2,11132216.025864094,8179053.46478033,10232073.4077837,18847425.88387
Luxemb.,2,7610060.997886756,4013493.39319534,6826818.94815476,6165681.64626
Macedonia,2,9203976.628895182,8214419.12390173,6825415.62796639,8958486.17756333
Netherlands,2,117710184.59512806,118796654.575927,128827575.040933,211021621.00377
NO1,2,40500000.0,40593030.9303533,33436760.0,33436760.0
NO2,2,40500000.0,40593030.9303533,45723400.0,45723400.0
NO3,2,30000000.0,30068911.8002617,28234490.0,28234489.9999999
NO4,2,21000000.000000004,21048238.2601832,23347409.9999999,23347409.9999999
NO5,2,18000000.0,18041347.080157,23747040.0,23747040.0
Poland,2,164150125.05411458,194373365.186265,163910023.618189,214413846.663263
Portugal,2,48291685.105574846,68491889.8860973,48858114.5046678,63670667.79103
Romania,2,53903161.0989127,73332996.5048129,62255696.2056618,83227013.0420633
Serbia,2,40924546.74220963,41072095.6195086,31692467.2694202,45462649.99013
Slovakia,2,30638678.117615346,28797506.2622477,27902185.6126686,37895717.5666566
Slovenia,2,14702925.202008557,17201178.3920647,16483466.887495,18714301.1635166
Spain,2,254997023.2478895,296436058.492729,244458423.400541,321901989.857019
Sweden,2,143027829.6243963,165260198.817289,125572848.453457,164514697.372323
Switzerland,2,65886855.06567749,71031149.343723,64099999.9999999,60131546.5106733
Austria,3,75002809.93672663,86208271.2635699,66237917.680875,123056059.122411
Belgium,3,92675431.3386184,88651120.4426756,97281056.0292017,158882127.522388
BosniaH,3,13266957.507082153,22577735.4199724,13209316.8176607,13225600.80334
Bulgaria,3,31852147.09048953,53966856.2758658,31852266.4127442,49693285.3104916
Croatia,3,17207413.70829889,16841254.9658281,17727415.0720586,25240578.8520083
CzechR,3,67912797.2477386,100161116.935868,64273205.1859025,103831130.819938
Denmark,3,37665490.55578341,39393967.713776,47792321.5816572,66764084.2273683
Estonia,3,8565953.593036171,13787727.675378,9597049.28999508,8028260.91710333
Finland,3,85529100.3528346,74028349.751653,92470732.9312428,150047867.532376
France,3,488720364.8271361,657777380.754242,414482278.016592,653128965.938678
Germany,3,569121607.8382292,767641421.898818,557504067.61901,1088569058.76242
GreatBrit.,3,365414903.3367297,395298451.42835,372114134.448525,624385758.260873
Greece,3,51819609.599764474,94835179.2989128,57241694.1637926,84448734.6521399
Hungary,3,41075484.6680941,49567518.5728039,47646702.5311001,81543655.3268866
Ireland,3,28145265.6126625,41617786.1107492,45361539.2725353,53336579.6857983
Italy,3,318721573.6580507,386157905.038875,308955435.754277,514030207.155206
Latvia,3,8592392.844900424,10375865.5622448,8112330.7017988,13795909.8537716
Lithuania,3,10953274.115235621,12382359.0985319,10683540.3340375,22249006.280275
Luxemb.,3,8324375.271309833,5175415.05721723,7225492.31508638,6667182.54685833
Macedonia,3,9794538.95184136,11288867.7099862,7144381.96877691,9427434.01949333
Netherlands,3,118525238.72568303,138579580.714641,134281245.366087,253040368.846971
NO1,3,41310000.0,40024389.6356541,34832975.0,34832975.0
NO2,3,41310000.0,40024389.6356541,46563560.0,46563560.0
NO3,3,30600000.0,29647696.0264104,28686365.0,28686365.0
NO4,3,21420000.000000004,20753387.2184873,24172379.9999999,24172380.0
NO5,3,18360000.0,17788617.6158463,24245585.0,24245585.0
Poland,3,176687917.28722173,221479172.194245,174036573.941379,259054305.089693
Portugal,3,48415369.059670985,87276538.4461799,50596368.6249884,74387794.7968133
Romania,3,55946733.47236017,123974600.046306,65302569.625754,108223541.792133
Serbia,3,43550422.096317284,56444338.549931,33173524.375271,46036943.0472016
Slovakia,3,32271644.043966338,34465735.79378,29714131.4173028,46254707.7410116
Slovenia,3,15158293.896872295,19707693.339325,17416842.0931875,22453339.40165
Spain,3,261245146.51357353,447980611.765409,254702603.037774,389872058.87661
Sweden,3,147531163.9789818,168182759.349916,129436130.575145,185829918.73288
Switzerland,3,66404782.59851623,76845477.4055838,67400000.0,64155836.8693899
Austria,4,79301250.97019376,107961948.78453,68903693.3509504,143297769.718213
Belgium,4,99351596.06121676,108840774.797474,99212384.0757081,202718201.076383
BosniaH,4,13973280.453257792,31228263.2898502,13571637.7211027,13660772.45949
Bulgaria,4,32676782.611798726,64699808.4948256,31884097.4604421,57954727.2947099
Croatia,4,18330052.69776641,19449935.3434076,18213663.7655574,29086361.6176066
CzechR,4,71447526.82083753,118150674.069203,67924471.6883292,128447157.440313
Denmark,4,39857237.891360916,44825384.0688308,49890523.6105126,82636316.6693166
Estonia,4,8524857.771873517,14598870.949856,10066944.3170399,9759470.41281
Finland,4,88007475.4859037,91863730.2985438,97007535.3407698,185497616.496663
France,4,520780604.270357,757520568.889581,422904074.071192,732439513.724736
Germany,4,577015201.8220944,907745925.591216,576011413.852663,1335481005.11265
GreatBrit.,4,383688809.3557601,457611347.242146,395226207.301335,791235967.364973
Greece,4,54725165.82547192,128438605.379534,60349196.0436668,101341030.34333
Hungary,4,43989099.58625237,59010845.7691539,49475840.3644244,100974513.800333
Ireland,4,30152270.961158443,50745512.0287576,47541941.8502551,63258248.8415066
Italy,4,338696255.39732903,450776464.756544,323518643.843112,633400404.301726
Latvia,4,9024922.534420533,11989473.8148188,8559514.85188966,17567457.57627
Lithuania,4,11197950.249672454,16007474.7271634,11031030.4458465,26614735.91515
Luxemb.,4,9322977.420878494,8023072.25800322,7366909.57809964,7278683.44745666
Macedonia,4,10315992.917847024,15614131.6449251,7340346.60231507,9896381.86142333
Netherlands,4,120946624.04607764,157848682.942626,136801884.202586,298431237.112583
NO1,4,42120000.0,40081343.7801312,36229189.9999999,36229189.9999999
NO2,4,42120000.0,40081343.7801312,47403720.0,47403720.0
NO3,4,31200000.0,29689884.2815787,29138240.0,29138240.0
NO4,4,21840000.000000004,20782918.9971051,24997350.0,24997350.0
NO5,4,18720000.0,17813930.5689472,24744130.0,24744130.0
Poland,4,182905919.94822943,278050842.016561,183147729.357938,307112774.439293
Portugal,4,49996632.76279319,101658648.195481,51732452.0438787,86165453.9138166
Romania,4,58729640.42627527,175435851.787389,66351396.3531628,134492619.419643
Serbia,4,45869014.164305955,78070658.2246257,34083447.3855159,46611236.1042733
Slovakia,4,34650485.31469627,47138557.5427442,31013720.9654173,55499826.5055466
Slovenia,4,15702909.172326798,22940289.4619329,18139884.5233235,27010303.2341833
Spain,4,270853027.4305888,485487408.41988,262384328.009748,465891290.63126
Sweden,4,154223581.80789483,187383609.621509,132503769.282683,212541756.862556
Switzerland,4,66922710.131354995,85900807.2853282,71500000.0,68180127.2281066
Austria,5,84942493.47153418,128376940.174279,71437724.4976586,154448258.100036
Belgium,5,108031489.40671732,127244940.174233,102383108.446271,231653044.73635
BosniaH,5,14620033.994334277,34261983.230794,13864371.4551019,14054445.16499
Bulgaria,5,34338643.984449446,74313582.7853393,32754403.4177715,61933070.4721883
Croatia,5,20404530.413878355,24565953.6414515,18606523.7809413,32559376.6121633
CzechR,5,77246900.6240043,134772836.990968,71585587.9834868,139059725.951774
Denmark,5,43554333.3967613,60489335.1790818,51235468.5602499,96277164.1969916
Estonia,5,9262827.982593648,16147621.1230087,10494688.8210601,11004893.1709866
Finland,5,95466708.04589523,113360878.493006,99259415.9783904,200990696.44693
France,5,564595804.3130924,872362620.8378,427073040.901625,797428461.144051
Germany,5,608702513.952142,1086827426.96812,598834458.066186,1449169582.87159
GreatBrit.,5,431965500.5393698,527383679.073241,421450711.903814,859305425.545246
Greece,5,57550751.4532475,168660839.567697,63700631.0225216,114909877.318355
Hungary,5,49110505.337406434,79134249.3212598,50885079.6885894,110549322.68834
Ireland,5,33150729.708497215,59622219.5769162,48851342.0565495,75387937.8646083
Italy,5,372058380.9984673,514090918.546875,336263079.616551,706801293.370306
Latvia,5,10025136.459298695,14967316.8690525,8905263.43160464,19342924.0374816
Lithuania,5,11860676.242115185,25654529.3022017,11813443.3338233,28280446.1742883
Luxemb.,5,10669386.796203317,10537287.2494678,7414900.59405681,6739323.55766333
Macedonia,5,10793468.838526908,17130991.615397,7498674.36746037,10331297.0451733
Netherlands,5,127544452.7305247,191870644.666737,142166932.957207,350612482.310835
NO1,5,42930000.0,44662008.4683228,39293090.7882965,39293090.7882965
NO2,5,42930000.0,44662008.4683228,51412650.2321191,51412650.2321191
NO3,5,31800000.0,33082969.2357947,31602459.501059,31602459.501059
NO4,5,22260000.000000004,23158078.4650562,27111374.6406371,27111374.6406371
NO5,5,19080000.0,19849781.5414768,26836739.8378879,26836739.8378879
Poland,5,205177544.9778879,342462140.746711,191567681.429012,343823049.959226
Portugal,5,53888189.94299152,112915790.016052,54715005.1054757,95459693.92819
Romania,5,65146806.94063467,205949660.447477,67462134.3373907,150261966.24047
Serbia,5,47992062.32294617,85654958.0769851,34818611.0426781,47033895.35638
Slovakia,5,36788815.36056186,58005017.8005303,32184601.158264,62279650.6928033
Slovenia,5,17822003.76367851,25380182.2721693,18772697.5025218,29487582.10648
Spain,5,292062852.7424808,637643871.789836,269745103.661417,525442961.232896
Sweden,5,163963519.5274606,212846117.502902,135364626.030085,227959974.748999
Switzerland,5,67440637.66419375,90334172.7159201,74600000.0,72009819.7658016
Austria,6,89979143.43732385,138300224.935322,73640775.5359976,165598746.48186
Belgium,6,115952873.84252466,135348371.59483,105165509.721323,260587888.396316
BosniaH,6,15590164.305949008,38609566.6355688,14363537.0778841,14448117.87049
Bulgaria,6,36075838.405873016,81004911.9578833,33410737.6675532,65911413.6496666
Croatia,6,22098322.875672832,30174017.0557699,19276423.3909599,36032391.60672
CzechR,6,83065100.45868567,142675376.494913,74504067.1362448,149672294.463236
Denmark,6,47923528.45689345,99362728.5134056,51881024.7171264,109918011.724666
Estonia,6,9864769.755036978,18938991.0102479,10906152.9393126,12250315.9291633
Finland,6,102386043.37079245,136565599.047306,101242431.180059,216483776.397196
France,6,587570921.9632821,977355636.175985,430383305.853565,862417408.563366
Germany,6,639567154.3974477,1153088780.95652,619020456.669813,1562858160.63054
GreatBrit.,6,470865192.389212,595190330.028303,438011934.549329,927374883.725519
Greece,6,60699027.48410558,240380523.874548,69536125.0324193,128478724.293379
Hungary,6,52113435.62568359,87349619.7300159,52906609.8112951,120124131.576346
Ireland,6,35736777.213262275,81517465.9973777,49384743.4350852,87517626.88771
Italy,6,393563993.49020404,602832059.591936,343364360.05472,780202182.438886
Latvia,6,10650344.927182319,20625810.3842086,8956684.98230077,21118390.4986933
Lithuania,6,13018807.932697486,35151611.673395,12166542.9741441,29946156.4334266
Luxemb.,6,11469070.96864402,11355297.9571876,7427960.93421391,6199963.66787
