Baseline_data_(from_ENTSO-E_max_values),Assumption,Baseline_+_Assumption,Commentaries,source
900.0,1.0,900.0,,https://eepublicdownloads.blob.core.windows.net/public-cdn-container/clean-documents/tyndp-documents/TYNDP2018/consultation/Main%20Report/TYNDP18%20Exec%20Report%20appendix.pdf
900.0,1.0,900.0,,
1900.0,1.0,1900.0,"1000MWbuiltin2030,additionalto2025capacities",
1900.0,1.0,1900.0,,
1900.0,1.0,1900.0,,
1900.0,1.0,1900.0,,
1900.0,1.0,1900.0,,
1900.0,1.0,1900.0,,
5000.0,1.0,5000.0,,
7000.0,1.0,7000.0,"2000MWbuildin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
9500.0,1.0,9500.0,"500MWbuiltin2030,additionalto2025capacities",
7500.0,1.0,7500.0,,
10200.0,1.0,10200.0,"700MWbuiltin2040,additionalto2025capacities",
8200.0,1.0,8200.0,,
8200.0,1.0,8200.0,,
8200.0,1.0,8200.0,,
800.0,1.0,800.0,,https://transparency.entsoe.eu/transmission-domain/ntcDay/show?name=&defaultValue=false&viewType=TABLE&areaType=BORDER_BZN&atch=false&dateTime.dateTime=01.02.2021+00:00|CET|DAY&border.values=CTY|10YHU-MAVIR----U!BZN_BZN|10YHU-MAVIR----U_BZN_BZN|10YAT-APG------L&direction.values=Export&direction.values=Import&dateTime.timezone=CET_CEST&dateTime.timezone_input=CET+(UTC+1)+/+CEST+(UTC+2)
800.0,1.0,800.0,,
2800.0,1.0,2800.0,"2000MWbuildin2030,additionalto2025capacities",
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
405.0,1.0,405.0,,
795.0,1.0,795.0,"390MWbuiltin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1295.0,1.0,1295.0,"110MWbuiltin2030,additionalto2025capacities",
1295.0,1.0,1295.0,,
2295.0,1.0,2295.0,"1000MWbuiltin2040,additionalto2025capacities",
2295.0,1.0,2295.0,,
2295.0,1.0,2295.0,,
2295.0,1.0,2295.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
1000.0,1.0,1000.0,"1000MWbuiltin2030,additionalto2025capacities",
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
